segmentnrs	original	stemmed
T06D4064:169B-7	dri ma med pa dang mi 'gyur ba'i chos yongs su grub pa ste /	'dri ma med ba dang mi mang ba chos yongs su 'grub ba ste 
T06D4064:169B-8	don dam pa zhes bya'o //	don dam ba zhes byed 
T06D4064:169B-9	'di ltar yongs su grub pa'i ngo bo nyid de ni gzhan gyi dbang gi bdag nyid chos thams cad kyi don dam pa ste /	mang ltar yongs su 'grub ba ngo 'bo nyid de ni gzhan gyi dbang gi bdag nyid chos thams cad kyi don dam ba ste 
T06D4064:169B-10	de'i chos nyid yin pas de'i phyir yongs su grub pa'i ngo bo nyid ni don dam pa ngo bo nyid med pa ste /	de chos nyid yin ba de phyir yongs su 'grub ba ngo 'bo nyid ni don dam ba ngo 'bo nyid med ba ste 
T06D4064:169B-11	yongs su grub pa ni dngos po med pa'i ngo bo nyid kyi phyir ro //	yongs su 'grub ba ni dngos po med ba ngo 'bo nyid kyi phyir ro 
T06D4064:169B-12	ci don dam pa 'ba' zhig gis yongs su grub pa brjod dam /	ci don dam ba mang 'jig gis yongs su 'grub ba rjod dam 
T06D4064:169B-13	smras pa /	smras ba 
T06D4064:169B-14	ma yin te /	ma yin te 
T06D4064:169B-15	de bzhin nyid kyang de'o //	de bzhin nyid kyang de 
T06D4064:169B-16	kyang gi sgra ni de bzhin nyid kyi sgrar brjod pa 'ba' zhig ma yin gyi chos kyi dbyings kyi rnam grangs su gtogs pa ji snyed pa de thams cad du brjod par bya ba'o //	kyang gi sgra ni de bzhin nyid kyi sgrar rjod ba mang 'jig ma yin gyi chos kyi dbyings kyi rnam grangs su gtogs ba ji snyed ba de thams cad du rjod ba byed ba 
T06D4064:169B-17	dus rnams kun na de bzhin yod pas de bzhin nyid de 'di ltar so so'i skye bo dang /	dus rnams kun na de bzhin yod ba de bzhin nyid de mang ltar so so skye 'bo dang 
T06D4064:169B-18	slob pa dang /	slob ba dang 
T06D4064:169B-19	mi slob pa'i dus dag na dus thams cad du de bzhin te /	mi slob ba dus 'dag na dus thams cad du de bzhin te 
T06D4064:169B-20	gzhan du ma yin pas de bzhin nyid ces bya'o //	gzhan du ma yin ba de bzhin nyid ces byed 
T06D4064:169B-21	ci de bzhin nyid bzhin du rnam par rig pa tsam yang yongs su grub pa nyid dam /	ci de bzhin nyid bzhin du rnam ba rig ba tsam yang yongs su 'grub ba nyid dam 
T06D4064:169B-22	'on te rnam par rig pa tsam gzhan zhig snyam pa la /	mang te rnam ba rig ba tsam gzhan 'jig snyam ba la 
T06D4064:169B-23	de'i phyir /	de phyir 
T06D4064:169B-24	de nyid rnam par rig pa tsam //	de nyid rnam ba rig ba tsam 
T06D4064:169B-25	zhes bya ba smos te /	zhes byed ba smos te 
T06D4064:169B-26	shin tu rnam par dag pa'i mtshan nyid khong du chud pa'i phyir ro //	shin tu rnam ba 'dag ba mtshan nyid khong du chud ba phyir ro 
T06D4064:169B-27	ji skad du /	ji skad du 
T06D4064:169B-28	de tshe de tsam mthong ba'i phyir //	de tshe de tsam mthong ba phyir 
T06D4064:169B-29	ming la sems de gnas pa yin //	ming la sems de gnas ba yin 
T06D4064:169B-30	ming la gnas pas rnam rig la //	ming la gnas ba rnam rig la 
T06D4064:169B-31	dmigs pa rab tu spong bar 'gyur //	dmigs ba rab tu spong ba mang 
T06D4064:169B-32	bsgom pa'i rgyu yis de yi tshe //	bsgom ba rgyu yis de yi tshe 
T06D4064:169B-33	dmigs pa med pa'i dbyings la reg / sgrib pa kun las rnam grol zhing //	dmigs ba med ba dbyings la reg sgrib ba kun las rnam grol zhing 
T06D4064:169B-34	de tshe dbang 'byor thob par 'gyur //	de tshe dbang mang 'thob ba mang 
T06D4064:169B-35	zhes bshad pa lta bu ste /	zhes 'chad ba lta bu ste 
T06D4064:169B-36	de nyid rnam par rig pa tsam //	de nyid rnam ba rig ba tsam 
T06D4064:169B-37	zhes bya ba'i tshig 'dis ni mngon par rtogs par bstan to //	zhes byed ba tshig mang ni mngon ba rtogs ba ston to 
T06D4064:169B-38	gal te 'di dag rnam par rig pa tsam yang yin na /	gal te mang 'dag rnam ba rig ba tsam yang yin na 
T06D4064:169B-39	mig dang /	mig dang 
T06D4064:169B-40	rna ba dang /	rna ba dang 
T06D4064:169B-41	sna dang /	sna dang 
T06D4064:169B-42	lce dang /	lce dang 
T06D4064:169B-43	lus kyis gzugs dang /	lus kyis gzugs dang 
T06D4064:169B-44	sgra dang /	sgra dang 
T06D4064:169B-45	dri dang /	'dri dang 
T06D4064:169B-46	ro dang /	ro dang 
T06D4064:169B-47	reg bya la gzung ngo snyam du de'i sems pa ci las byung snyam pa la de'i phyir /	reg byed la gzung ngo snyam du de sems ba ci las 'byung snyam ba la de phyir 
T06D4064:169B-48	ji srid rnam rig tsam nyid la //	ji srid rnam rig tsam nyid la 
T06D4064:170A-0	rnam par @170a * //	rnam ba 
T06D4064:170A-1	shes pa mi gnas pa //	shes ba mi gnas ba 
T06D4064:170A-2	de srid 'dzin pa rnam gnyis kyi //	de srid mang ba rnam gnyis kyi 
T06D4064:170A-3	bag la nyal ba mi ldog go //	bag la nyal ba mi ldog go 
T06D4064:170A-4	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:170A-5	yang na gang /	yang na gang 
T06D4064:170A-6	las kyi bag chags 'dzin gnyis kyi //	las kyi bag chags mang gnyis kyi 
T06D4064:170A-7	bag chags bcas pas snga ma yin //	bag chags 'cha' ba snga ma yin 
T06D4064:170A-8	rnam par rig pa zad nas gzhan //	rnam ba rig ba zad nas gzhan 
T06D4064:170A-9	rnam smin skyed pa de yin no //	rnam smin skyed ba de yin no 
T06D4064:170A-10	zhes smos pa de smod pa dang /	zhes smos ba de smod ba dang 
T06D4064:170A-11	mi spong ba ji lta bu zhes bya ba ste /	mi spong ba ji lta bu zhes byed ba ste 
T06D4064:170A-12	de'i phyir /	de phyir 
T06D4064:170A-13	ji srid rnam reg tsam nyid la //	ji srid rnam reg tsam nyid la 
T06D4064:170A-14	rnam par shes pa mi gnas pa //	rnam ba shes ba mi gnas ba 
T06D4064:170A-15	zhes rgya cher smos du'o //	zhes rgya cher smos du 
T06D4064:170A-16	'dzin pa gnyis ni gzung ba'i 'dzin pa dang /	mang ba gnyis ni gzung ba mang ba dang 
T06D4064:170A-17	'dzin pa'i ces bya ba la /	mang ba ces byed ba la 
T06D4064:170A-18	rnam par shes pa mi gnas pa //	rnam ba shes ba mi gnas ba 
T06D4064:170A-19	gzung ba dang 'dzin par dmigs pa la dpyod pa'i bar du'o //	gzung ba dang mang ba dmigs ba la dpyod ba ba du 
T06D4064:170A-20	'dzin pa gnyis ni gzung ba'i 'dzin pa dang /	mang ba gnyis ni gzung ba mang ba dang 
T06D4064:170A-21	'dzin pa'i 'dzin pa ste /	mang ba mang ba ste 
T06D4064:170A-22	de'i bag la nyal ni ma 'ongs pa'i 'dzin pa gnyis skye bar bya ba'i phyir de dag gi kun gzhi rnam par shes pa la sa bon btab pa'o //	de bag la nyal ni ma mang ba mang ba gnyis skye ba byed ba phyir de 'dag gi kun gzhi rnam ba shes ba la sa bon 'debs ba 
T06D4064:170A-23	ji srid du gnyis med pa'i mtshan nyid rnam par rig pa tsam nyid la rnal 'byor ba'i sems gnas par ma gyur pa de srid du 'dzin pa gnyis kyi bag la nyal mi ldog ste /	ji srid du gnyis med ba mtshan nyid rnam ba rig ba tsam nyid la rnal mang ba sems gnas ba ma gyur ba de srid du mang ba gnyis kyi bag la nyal mi ldog ste 
T06D4064:170A-24	mi spong zhes bya ba'i tha tshig go //	mi spong zhes byed ba tha tshig go 
T06D4064:170A-25	'dir ni phyi rol gyi dmigs pa ma spangs na nang gi dmigs pa'ang ma spangs par bstan pa /	mang ni phyi rol gyi dmigs ba ma spong na nang gi dmigs ba ma spong ba ston ba 
T06D4064:170A-26	de'i phyir de 'di snyam du bdag ni mig la sogs pas gzugs la sogs pa 'dzin to snyam du sems so //	de phyir de mang snyam du bdag ni mig la sogs ba gzugs la sogs ba mang to snyam du sems so 
T06D4064:170A-27	da ni 'di brjod par bya ste /	da ni mang rjod ba byed ste 
T06D4064:170A-28	don dang bral ba'i sems tsam dmigs pas /	don dang 'bral ba sems tsam dmigs ba 
T06D4064:170A-29	ci sems kyi chos nyid la gnas pa yin nam smras pa /	ci sems kyi chos nyid la gnas ba yin nam smras ba 
T06D4064:170A-30	ma yin te /	ma yin te 
T06D4064:170A-31	'di dag rnam rig tsam nyid ces //	mang 'dag rnam rig tsam nyid ces 
T06D4064:170A-32	de 'di snyam du dmigs nas su //	de mang snyam du dmigs nas su 
T06D4064:170A-33	ci yang rung ste mdun 'jog na //	ci yang rung ste mdun mang na 
T06D4064:170A-34	de ni tsam la mi gnas so //	de ni tsam la mi gnas so 
T06D4064:170A-35	yang na mngon pa'i nga rgyal can gang thos pa tsam gyis bdag rnam par rig pa tsam rnam par dag pa la gnas so snyam du sems pa'i 'dzin pa des bsal ba'i phyir /	yang na mngon ba nga rgyal can gang thos ba tsam gyis bdag rnam ba rig ba tsam rnam ba 'dag ba la gnas so snyam du sems ba mang ba des bsal ba phyir 
T06D4064:170A-36	'di dag rnam rig tsam nyid ces //	mang 'dag rnam rig tsam nyid ces 
T06D4064:170A-37	de snyam du ni dmigs nas su //	de snyam du ni dmigs nas su 
T06D4064:170A-38	zhes bya ba la sogs pa smos so //	zhes byed ba la sogs ba smos so 
T06D4064:170A-39	'di dag rnam par rig pa tsam nyid //	mang 'dag rnam ba rig ba tsam nyid 
T06D4064:170A-40	ces bya ba ni don dang bral pa ste /	ces byed ba ni don dang 'bral ba ste 
