segmentnrs	original	stemmed
T06D4064:153A-8	rnam par shes pa'i rang gi ngo bo yin pas de nges par sems las byung ba rnams dang mtshungs par ldan par gyur na sems las byung ba ni gang dag dang ji snyed dus ni /	rnam ba shes ba rang gi ngo 'bo yin ba de nges ba sems las 'byung ba rnams dang mtshungs ba ldan ba gyur na sems las 'byung ba ni gang 'dag dang ji snyed dus ni 
T06D4064:153A-9	ji srid du mtshungs par ldan par 'gyur ba de mi shes te /	ji srid du mtshungs ba ldan ba mang ba de mi shes te 
T06D4064:153A-10	de'i phyir /	de phyir 
T06D4064:153A-11	bsgribs la lung du ma bstan pa'i //	sgrib la lung du ma ston ba 
T06D4064:153A-12	nyon mongs bzhi dang rtag tu 'grogs //	nyon mongs bzhi dang rtag tu mang 
T06D4064:153A-13	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:153A-14	sems las byung ba dag ni rnam pa gnyis te /	sems las 'byung ba 'dag ni rnam ba gnyis te 
T06D4064:153A-15	nyon mongs pa dang de las gzhan pa'o //	nyon mongs ba dang de las gzhan ba 
T06D4064:153A-16	de las gzhan pa dag las rnam par dbye ba'i phyir /	de las gzhan ba 'dag las rnam ba 'byed ba phyir 
T06D4064:153A-17	nyon mongs pa zhes bya ba smos so //	nyon mongs ba zhes byed ba smos so 
T06D4064:153A-18	nyon mongs pa'ang drug ste /	nyon mongs ba drug ste 
T06D4064:153A-19	de dag thams cad dang mtshungs par ldan pa ma yin pas de'i phyir bzhi zhes bya ba smos so //	de 'dag thams cad dang mtshungs ba ldan ba ma yin ba de phyir bzhi zhes byed ba smos so 
T06D4064:153A-20	'grogs zhes bya ba ni mtshungs par ldan pa'o //	mang zhes byed ba ni mtshungs ba ldan ba 
T06D4064:153A-21	nyon mongs ba yang rnam pa gnyis te mi dge ba dang /	nyon mongs ba yang rnam ba gnyis te mi dge ba dang 
T06D4064:153A-22	bsgribs la lung du ma bstan pa'o //	sgrib la lung du ma ston ba 
T06D4064:153A-23	mi dge ba dag las bye brag tu dbye ba'i phyir bsgribs la lung du ma bstan zhes bya ba smos so //	mi dge ba 'dag las 'bye brag tu 'byed ba phyir sgrib la lung du ma ston zhes byed ba smos so 
T06D4064:153A-24	bsgribs pa'i rnam par shes pa ni mi dge ba rnams dang mtshungs par ldan pa mi srid de /	sgrib ba rnam ba shes ba ni mi dge ba rnams dang mtshungs ba ldan ba mi srid de 
T06D4064:153A-25	bsgribs ba ni nyon mongs ba can gyi phyir ro //	sgrib ba ni nyon mongs ba can gyi phyir ro 
T06D4064:153A-26	lung du ma bstan pa ni dge ba dang mi dge ba nyid du lung bstan du med pa'i phyir ro //	lung du ma ston ba ni dge ba dang mi dge ba nyid du lung ston du med ba phyir ro 
T06D4064:153A-27	rtag tu zhes bya ba ni dus thams cad du ste /	rtag tu zhes byed ba ni dus thams cad du ste 
T06D4064:153A-28	ji srid du de yod pa de srid du de dag dang mtshungs par ldan no //	ji srid du de yod ba de srid du de 'dag dang mtshungs ba ldan no 
T06D4064:153A-29	spyir bstan pas khyad par mi shes nas khyad par ston to //	spyir ston ba khyad ba mi shes nas khyad ba ston to 
T06D4064:153A-30	bdag tu lta dang bdag tu rmongs //	bdag tu lta dang bdag tu rmongs 
T06D4064:153A-31	bdag rgyal bdag chags zhes bya ba ste /	bdag rgyal bdag chags zhes byed ba ste 
T06D4064:153A-32	nye bar len pa'i phung po rnams la bdag tu mthong ba ni bdag tu lta ba ste /	nye ba len ba 'phung po rnams la bdag tu mthong ba ni bdag tu lta ba ste 
T06D4064:153A-33	'jig tshogs la lta ba zhes bya ba'i tha tshig go //	mang tshogs la lta ba zhes byed ba tha tshig go 
T06D4064:153A-34	rmongs pa ni mi shes pa ste /	rmongs ba ni mi shes ba ste 
T06D4064:153B-0	bdag @153b mi shes pa ni bdag tu rmongs pa'o //	bdag mi shes ba ni bdag tu rmongs ba 
T06D4064:153B-1	bdag tu nga rgyal ni bdag gi yul la ngar sems pa ste /	bdag tu nga rgyal ni bdag gi yul la ngar sems ba ste 
T06D4064:153B-2	nga'o snyam pa'i nga rgyal zhes bya ba'i tha tshig go //	nga snyam ba nga rgyal zhes byed ba tha tshig go 
T06D4064:153B-3	bdag chags ni bdag la chags pa ste /	bdag chags ni bdag la chags ba ste 
T06D4064:153B-4	bdag la dga' zhes bya ba'i tha tshig go //	bdag la dga zhes byed ba tha tshig go 
T06D4064:153B-5	de la kun gzhi rnam par shes pa'i rang gi ngo bo la rmongs par gyur na kun gzhi rnam par shes pa la bdag tu lta ba 'byung ngo //	de la kun gzhi rnam ba shes ba rang gi ngo 'bo la rmongs ba gyur na kun gzhi rnam ba shes ba la bdag tu lta ba mang ngo 
T06D4064:153B-6	bdag tu mthong bas sems khengs pa gang yin pa de ni nga'o snyam pa'i nga rgyal lo //	bdag tu mthong ba sems kheng ba gang yin ba de ni nga snyam ba nga rgyal lo 
T06D4064:153B-7	de gsum yod na bdag tu bsams pa'i dngos bo la mngon bar chags pa gang yin pa de ni bdag la chags pa'o //	de gsum yod na bdag tu bsams ba dngos 'bo la mngon ba chags ba gang yin ba de ni bdag la chags ba 
T06D4064:153B-8	yang smras pa /	yang smras ba 
T06D4064:153B-9	ma rig pa dang bdag lta dang //	ma rig ba dang bdag lta dang 
T06D4064:153B-10	nga'o nga rgyal srid 'di bzhis //	nga nga rgyal srid mang bzhis 
T06D4064:153B-11	kun gzhi nyon mongs can 'gyur yid //	kun gzhi nyon mongs can mang yid 
T06D4064:153B-12	ngar sems pa yi mtshan nyid de //	ngar sems ba yi mtshan nyid de 
T06D4064:153B-13	phyin ci log gi rgyu byed pa'ang //	phyin ci log gi rgyu byed ba 
T06D4064:153B-14	yid de de dag nyon mongs can //	yid de de 'dag nyon mongs can 
T06D4064:153B-15	sems dge lung du ma bstan tshe //	sems dge lung du ma ston tshe 
T06D4064:153B-16	rtag tu ngar 'dzin rgyu yin no ;	rtag tu ngar mang rgyu yin no 
T06D4064:153B-17	/ bdag tu rmongs pa la sogs pa nyon mongs pa de dag kyang yid bzhin dus dgu pa ste /	bdag tu rmongs ba la sogs ba nyon mongs ba de 'dag kyang yid bzhin dus dgu ba ste 
T06D4064:153B-18	'dir spyir brjod pa ci rang gis pa nyid dang mtshungs par ldan nam /	mang spyir rjod ba ci rang gis ba nyid dang mtshungs ba ldan nam 
T06D4064:153B-19	'on te gzhan gyis pa dag dang mtshungs par ldan pa mi shes nas /	mang te gzhan gyis ba 'dag dang mtshungs ba ldan ba mi shes nas 
T06D4064:153B-20	de'i phyir gang du skyes pa de'i'o zhes bya ba smos so //	de phyir gang du skye ba de zhes byed ba smos so 
T06D4064:153B-21	gang du skyes pa ni gang du byung ba'o //	gang du skye ba ni gang du 'byung ba 
T06D4064:153B-22	de'i'o zhes bya ba ni khams dang sa gang du skyes pa khams de dang sa de nyid kyi dang mtshungs par ldan te /	de zhes byed ba ni khams dang sa gang du skye ba khams de dang sa de nyid kyi dang mtshungs ba ldan te 
T06D4064:153B-23	khams gzhan dag kyang sa gzhan dag gi dang ni ma yin no //	khams gzhan 'dag kyang sa gzhan 'dag gi dang ni ma yin no 
T06D4064:153B-24	ci de nyon mongs pa bzhi nyid dang mtshungs par ldan nam /	ci de nyon mongs ba bzhi nyid dang mtshungs ba ldan nam 
T06D4064:153B-25	smras pa ma yin no //	smras ba ma yin no 
T06D4064:153B-26	'on kyang gzhan reg sogs kyang mtshungs par ldan no zhes bya bar sbyar ro //	mang kyang gzhan reg sogs kyang mtshungs ba ldan no zhes byed ba sbyor ro 
T06D4064:153B-27	kyang zhes bya ba'i sgra ni bsdu ba'i don to //	kyang zhes byed ba sgra ni sdud ba don to 
T06D4064:153B-28	reg sogs zhes bya ba ni reg pa dang /	reg sogs zhes byed ba ni reg ba dang 
T06D4064:153B-29	yid la byed pa dang /	yid la byed ba dang 
T06D4064:153B-30	tshor ba dang /	tshor ba dang 
T06D4064:153B-31	'du shes dang /	mang shes dang 
T06D4064:153B-32	sems ba ste /	sems ba ste 
T06D4064:153B-33	chos lnga po de dag ni kun du 'gro bas rnam par shes pa thams cad dang mtshungs par ldan te /	chos lnga po de 'dag ni kun du mang ba rnam ba shes ba thams cad dang mtshungs ba ldan te 
T06D4064:153B-34	de dag kyang gang du skyes pa de nyid dang mtshungs par ldan gyi /	de 'dag kyang gang du skye ba de nyid dang mtshungs ba ldan gyi 
T06D4064:153B-35	khams dang sa gzhan gyi dang ni ma yin no //	khams dang sa gzhan gyi dang ni ma yin no 
T06D4064:153B-36	yang na gzhan zhes bya ba ni rtsa ba'i rnam par shes pa dang mtshungs par ldan pa dag las rnam par dbye ba'i phyir te /	yang na gzhan zhes byed ba ni rtsa ba rnam ba shes ba dang mtshungs ba ldan ba 'dag las rnam ba 'byed ba phyir te 
T06D4064:154A-0	rtsa ba'i rnam par shes pa'i reg pa la sogs pa ni ma @154a * //	rtsa ba rnam ba shes ba reg ba la sogs ba ni ma 
T06D4064:154A-1	bsgribs la lung du ma bstan pa'o //	sgrib la lung du ma ston ba 
T06D4064:154A-2	nyon mongs pa can gyi yid ni yid bzhin du bsgribs la lung du ma bstan pa'o //	nyon mongs ba can gyi yid ni yid bzhin du sgrib la lung du ma ston ba 
T06D4064:154A-3	gal te nyon mongs pa can gyi yid de dge ba dang /	gal te nyon mongs ba can gyi yid de dge ba dang 
T06D4064:154A-4	nyon mongs pa can dang /	nyon mongs ba can dang 
T06D4064:154A-5	lung du ma bstan pa'i dus na yang bye brag med par 'byung na ni de'i ldog pa med par 'gyur ro //	lung du ma ston ba dus na yang 'bye brag med ba mang na ni de ldog ba med ba mang ro 
T06D4064:154A-6	mi ldog na ni de la thar pa ga la yod de thar pa med par ji ltar mi 'gyur zhe na /	mi ldog na ni de la thar ba ga la yod de thar ba med ba ji ltar mi mang zhe na 
T06D4064:154A-7	mi 'gyur te //	mi mang te 
T06D4064:154A-8	'di ltar de la dgra bcom med //	mang ltar de la dgra 'joms med 
T06D4064:154A-9	'gog pa'i snyoms par 'jug la med //	mang ba snyom ba mang la med 
T06D4064:154A-10	'jig rten 'das pa'i lam na'ang med //	mang rten mang ba lam na med 
T06D4064:154A-11	dgra bcom pa ni nyon mongs pa ma lus par spangs pas nyon mongs pa can gyi yid med de /	dgra 'joms ba ni nyon mongs ba ma lus ba spong ba nyon mongs ba can gyi yid med de 
T06D4064:154A-12	de ni srid pa'i rtse mo'i nyon mongs pa bsgoms pas spang bar bya ba bzhin du dgra bcom pa nyid thob pa na bar chad med pa'i lam nyid kyis spongs te /	de ni srid ba rtse mo nyon mongs ba sgom ba spong ba byed ba bzhin du dgra 'joms ba nyid 'thob ba na ba 'chad med ba lam nyid kyis spongs te 
T06D4064:154A-13	de na dgra bcom pa nyid kyi tshe na nyon mongs pa gzhan bzhin du med do //	de na dgra 'joms ba nyid kyi tshe na nyon mongs ba gzhan bzhin du med do 
T06D4064:154A-14	phyir mi 'ang ba ci yang med pa'i skye mched kyi 'dod chags dang bral ba 'gog pa'i snyoms par 'jug pa thob pa yang lam gyi stobs kyis 'gog pa'i snyoms par 'jug pa thob pas 'gog pa'i snyoms par 'jug pa'i dus na yang lam bzhin du 'gag par 'gyur ro //	phyir mi mang ba ci yang med ba skye mched kyi mang chags dang 'bral ba mang ba snyom ba mang ba 'thob ba yang lam gyi stobs kyis mang ba snyom ba mang ba 'thob ba mang ba snyom ba mang ba dus na yang lam bzhin du mang ba mang ro 
T06D4064:154A-15	'gog pa las langs nas yang kun gzhi rnam par shes pa nyid las 'byung ngo //	mang ba las ldang nas yang kun gzhi rnam ba shes ba nyid las mang ngo 
T06D4064:154A-16	'jig rten 'das pa'i lam na'ang med //	mang rten mang ba lam na med 
T06D4064:154A-17	'jig rten las 'das pa smos pa ni 'jig rten pa rnam par gcad pa'i phyir ro //	mang rten las mang ba smos ba ni mang rten ba rnam ba gcod ba phyir ro 
T06D4064:154A-18	'jig rten pa'i lam na ni nyon mongs pa can gyi yid 'byung ba nyid do //	mang rten ba lam na ni nyon mongs ba can gyi yid mang ba nyid do 
T06D4064:154A-19	bdag med par mthong ba ni bdag la sogs par lta ba'i gnyen po yin pas 'jig rten las 'das pa'i lam na de 'byung bar mi nus te /	bdag med ba mthong ba ni bdag la sogs ba lta ba gnyen po yin ba mang rten las mang ba lam na de mang ba mi nus te 
