segmentnrs	original	stemmed
T06D4064:151B-6	yul ni dmigs pa'o //	yul ni dmigs ba 
T06D4064:151B-7	mtshan ma ni de'i bye brag sngon po dang /	mtshan ma ni de 'bye brag sngon po dang 
T06D4064:151B-8	ser po la sogs pa dmigs pa rnam par gzhag pa'i rgyu'o //	ser po la sogs ba dmigs ba rnam ba 'jog ba rgyu 
T06D4064:151B-9	de la 'dzin pa ni 'di sngon po nyid yin gyi ser po ni ma yin no zhes rtog pa'o //	de la mang ba ni mang sngon po nyid yin gyi ser po ni ma yin no zhes rtogs ba 
T06D4064:151B-10	sems pa ni sems mngon par 'du byed pa yid g-yo bar byed pa ste /	sems ba ni sems mngon ba mang byed ba yid g-yo ba byed ba ste 
T06D4064:151B-11	gang yod na khab long gi dbang gis lcags g-yo ba bzhin du dmigs pa la sems g-yo bar byed pa'o //	gang yod na khab long gi dbang gis lcags g-yo ba bzhin du dmigs ba la sems g-yo ba byed ba 
T06D4064:151B-12	tshor ba ni rnam pa gsum ste /	tshor ba ni rnam ba gsum ste 
T06D4064:151B-13	bde ba dang /	bde ba dang 
T06D4064:151B-14	sdug bsngal ba dang /	sdug sngal ba dang 
T06D4064:151B-15	sdug bsngal ba yang ma yin pa de ba yang ma yin pa'o //	sdug sngal ba yang ma yin ba de ba yang ma yin ba 
T06D4064:151B-16	chos kyang rnam pa bzhi ste /	chos kyang rnam ba bzhi ste 
T06D4064:151B-17	dge ba dang /	dge ba dang 
T06D4064:151B-18	mi dge ba dang /	mi dge ba dang 
T06D4064:151B-19	bsgribs pa'i lung du ma bstan pa dang /	sgrib ba lung du ma ston ba dang 
T06D4064:151B-20	ma bsgribs pa'i lung du ma bstan pa yin no //	ma sgrib ba lung du ma ston ba yin no 
T06D4064:151B-21	de la kun gzhi rnam par shes pa la tshor ba spyir bshad pas tshor ba rnam pa gsum las tshor ba gang yin pa mi shes la ;	de la kun gzhi rnam ba shes ba la tshor ba spyir 'chad ba tshor ba rnam ba gsum las tshor ba gang yin ba mi shes la 
T06D4064:151B-22	de bzhin du de yang ci dge ba'am /	de bzhin du de yang ci dge ba 
T06D4064:151B-23	mi dge ba'am /	mi dge ba 
T06D4064:151B-24	bsgribs la lung du ma bstan pa'am /	sgrib la lung du ma ston ba 
T06D4064:151B-25	ma bsgribs la lung du ma bstan pa gang yin gtol med pas de'i phyir /	ma sgrib la lung du ma ston ba gang yin gtol med ba de phyir 
T06D4064:151B-26	de la tshor ba btang snyoms te /	de la tshor ba gtong snyom te 
T06D4064:151B-27	de ni ma bsgribs lung ma bstan //	de ni ma sgrib lung ma ston 
T06D4064:151B-28	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:151B-29	de la zhes bya ba ni kun gzhi rnam par shes pa nyid kyi skabs yin pas der bsnyegs so //	de la zhes byed ba ni kun gzhi rnam ba shes ba nyid kyi skabs yin ba der snyeg so 
T06D4064:151B-30	kun gzhi rnam par shes pa la tshor ba btang snyoms nyid yin gyi /	kun gzhi rnam ba shes ba la tshor ba gtong snyom nyid yin gyi 
T06D4064:151B-31	bde ba yang ma yin sdug bsngal ba yang ma yin te /	bde ba yang ma yin sdug sngal ba yang ma yin te 
T06D4064:151B-32	de gnyis kyi dmigs ba dang /	de gnyis kyi dmigs ba dang 
T06D4064:151B-33	rnam pa yongs su chad pa'i phyir ro //	rnam ba yongs su 'chad ba phyir ro 
T06D4064:151B-34	de ni ma bsgribs lung ma bstan //	de ni ma sgrib lung ma ston 
T06D4064:151B-35	zhes bya ba yang kun gzhi rnam par shes pa la bsnyegs so //	zhes byed ba yang kun gzhi rnam ba shes ba la snyeg so 
T06D4064:151B-36	de la ma bsgribs pa smos pa ni bsgribs pa'i lung du ma bstan pa rnam par gcad pa'i phyir ro //	de la ma sgrib ba smos ba ni sgrib ba lung du ma ston ba rnam ba gcod ba phyir ro 
T06D4064:151B-37	lung du ma bstan pa smos pa ni dge ba dang /	lung du ma ston ba smos ba ni dge ba dang 
T06D4064:151B-38	mi dge ba rnam par bcad pa'i phyir ro //	mi dge ba rnam ba gcod ba phyir ro 
T06D4064:152A-0	yid kyis pa'i nye ba'i nyon mongs pa glo @152a * //	yid kyis ba nye ba nyon mongs ba glo 
T06D4064:152A-1	bur ba rnams kyis ma bsgribs pa'i phyir ma bsgribs pa'o //	bur ba rnams kyis ma sgrib ba phyir ma sgrib ba 
T06D4064:152A-2	rnam par smin pa yin pas rnam par smin par gyur pa ni dge ba dang mi dge bar lung bstan du med pas lung du ma bstan pa'o //	rnam ba smin ba yin ba rnam ba smin ba gyur ba ni dge ba dang mi dge ba lung ston du med ba lung du ma ston ba 
T06D4064:152A-3	reg la sogs pa yang de bzhin no //	reg la sogs ba yang de bzhin no 
T06D4064:152A-4	ji ltar kun gzhi rnam par shes pa gcig tu rnam par smin pa dang /	ji ltar kun gzhi rnam ba shes ba gcig tu rnam ba smin ba dang 
T06D4064:152A-5	dmigs pa dang rnam pa yongs su ma chad pa dang /	dmigs ba dang rnam ba yongs su ma 'chad ba dang 
T06D4064:152A-6	rtag tu reg pa la sogs pa dang ldan pa dang /	rtag tu reg ba la sogs ba dang ldan ba dang 
T06D4064:152A-7	de la tshor ba btang snyoms nyid dang /	de la tshor ba gtong snyom nyid dang 
T06D4064:152A-8	ma bsgribs la lung du ma bstan pa de bzhin du reg pa la sogs pa yang gcig tu rnam par smin pa nyid dang /	ma sgrib la lung du ma ston ba de bzhin du reg ba la sogs ba yang gcig tu rnam ba smin ba nyid dang 
T06D4064:152A-9	dmigs ba dang rnam pa yongs su ma chad pa dang /	dmigs ba dang rnam ba yongs su ma 'chad ba dang 
T06D4064:152A-10	bdag ma gtogs par gzhan bzhi dang /	bdag ma gtogs ba gzhan bzhi dang 
T06D4064:152A-11	kun gzhi rnam par shes pa dang rtag tu ldan no //	kun gzhi rnam ba shes ba dang rtag tu ldan no 
T06D4064:152A-12	de dag las tshor ba btang snyoms nyid dang /	de 'dag las tshor ba gtong snyom nyid dang 
T06D4064:152A-13	ma bsgribs la lung du ma bstan pa yang kun gzhi rnam par shes pa bzhin te /	ma sgrib la lung du ma ston ba yang kun gzhi rnam ba shes ba bzhin te 
T06D4064:152A-14	rnam par smin pa dang mtshungs par ldan pa rnams rnam par smin pa ma yin pa dang /	rnam ba smin ba dang mtshungs ba ldan ba rnams rnam ba smin ba ma yin ba dang 
T06D4064:152A-15	dmigs pa dang rnam pa yongs su ma chad pa yang dmigs pa dang /	dmigs ba dang rnam ba yongs su ma 'chad ba yang dmigs ba dang 
T06D4064:152A-16	rnam pa yongs su chad mi srid de /	rnam ba yongs su 'chad mi srid de 
T06D4064:152A-17	gzhan du yang de bzhin du brjod par bya'o //	gzhan du yang de bzhin du rjod ba byed 
T06D4064:152A-18	ci kun gzhi rnam par shes pa de ji srid 'khor gyi nang du tha dad pa med par 'jug pa zhig gam /	ci kun gzhi rnam ba shes ba de ji srid mang gyi nang du tha dad ba med ba mang ba 'jig gam 
T06D4064:152A-19	'on te rgyun gyis 'jug ce na /	mang te rgyun gyis mang ce na 
T06D4064:152A-20	de gcig pu tha dad pa med par 'jug pa ma yin te skad cig pa'i phyir ro //	de gcig pu tha dad ba med ba mang ba ma yin te skad cig ba phyir ro 
T06D4064:152A-21	'on kyang de ni rgyun 'bab chu bo bzhin //	mang kyang de ni rgyun mang chu 'bo bzhin 
T06D4064:152A-22	de ni zhes bya ba ni kun gzhi rnam par shes pa nyid dang sbyar ro //	de ni zhes byed ba ni kun gzhi rnam ba shes ba nyid dang sbyor ro 
T06D4064:152A-23	de la rgyun ni rgyu dang 'bras bu bar chad med par rgyun du 'byung ba'o //	de la rgyun ni rgyu dang mang bu ba 'chad med ba rgyun du mang ba 
T06D4064:152A-24	chu'i tshogs kyi snga phyi'i chu rgyun mi 'chad par 'bab ba ni chu bo zhes bya'o //	chu tshogs kyi snga phyi chu rgyun mi mang ba mang ba ni chu 'bo zhes byed 
T06D4064:152A-25	ji ltar chu bo rtsva dang shing dang lci ba la sogs pa de ded cing 'bab ba de bzhin du kun gzhi rnam par shes pa bsod nams dang bsod nams ma yin pa dang /	ji ltar chu 'bo rtsva dang shing dang lci ba la sogs ba de 'ded cing mang ba de bzhin du kun gzhi rnam ba shes ba bsod nams dang bsod nams ma yin ba dang 
T06D4064:152A-26	mi g-yo ba'i las kyi bag chags dang ldan pa yang reg ba dang yid la byed pa la sogs pa bsdus nas ji srid 'khor gyi bar du rgyun mi 'chad par rgyun du 'byung ngo //	mi g-yo ba las kyi bag chags dang ldan ba yang reg ba dang yid la byed ba la sogs ba sdud nas ji srid mang gyi ba du rgyun mi mang ba rgyun du mang ngo 
T06D4064:152A-27	de ltar rgyun du 'byung ba de gang gi tshe na ldog par 'gyur snyam pa la /	de ltar rgyun du mang ba de gang gi tshe na ldog ba mang snyam ba la 
T06D4064:152A-28	dgra bcom nyid na de ldog go //	dgra 'joms nyid na de ldog go 
T06D4064:152A-29	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:152B-0	dgra bcom pa nyid ces bya ba ci zhe na gang @152b dang ldan na 'di dgra bcom pa zhes bya'o //	dgra 'joms ba nyid ces byed ba ci zhe na gang dang ldan na mang dgra 'joms ba zhes byed 
T06D4064:152B-1	ci dang ldan na dgra bcom pa zhes bya zhe na /	ci dang ldan na dgra 'joms ba zhes byed zhe na 
T06D4064:152B-2	zad pa shes pa dang /	zad ba shes ba dang 
T06D4064:152B-3	mi skye ba shes pa thob pa'i phyir ro //	mi skye ba shes ba 'thob ba phyir ro 
T06D4064:152B-4	de'i tshe kun gzhi rnam par shes pa la gnas ngan len ma lus par spangs pa'i phyir /	de tshe kun gzhi rnam ba shes ba la gnas ngan len ma lus ba spong ba phyir 
T06D4064:152B-5	kun gzhi rnam par shes pa ldog par 'gyur te /	kun gzhi rnam ba shes ba ldog ba mang te 
T06D4064:152B-6	de nyid kyi dus na dgra bcom pa'o //	de nyid kyi dus na dgra 'joms ba 
T06D4064:152B-7	rnam par smin par gyur pa rnam par dbye ba dang bcas pa bshad zin to //	rnam ba smin ba gyur ba rnam ba 'byed ba dang 'cha' ba 'chad zin to 
T06D4064:152B-8	da ni ngar sems pa zhes bya ba gyur pa gnyis pa ste /	da ni ngar sems ba zhes byed ba gyur ba gnyis ba ste 
T06D4064:152B-9	de la gnas te rab 'byung zhes rgya cher smos pa'o //	de la gnas te rab mang zhes rgya cher smos ba 
T06D4064:152B-10	de la ji ltar mig la sogs pa'i rnam par shes pa rnams kyi gnas mig la sogs pa dang /	de la ji ltar mig la sogs ba rnam ba shes ba rnams kyi gnas mig la sogs ba dang 
T06D4064:152B-11	gzugs la sogs pa ni dmigs par grags pa de bzhin du nyon mongs pa can gyi yid kyi gnas dang dmigs par ma grags te /	gzugs la sogs ba ni dmigs ba grags ba de bzhin du nyon mongs ba can gyi yid kyi gnas dang dmigs ba ma grags te 
T06D4064:152B-12	rnam par shes pa gnas dang dmigs pa la mi ltos pa ni mi rung bas de'i phyir nyon mongs pa can gyi yid kyi gnas dang dmigs pa bstan pa dang /	rnam ba shes ba gnas dang dmigs ba la mi ltos ba ni mi rung ba de phyir nyon mongs ba can gyi yid kyi gnas dang dmigs ba ston ba dang 
T06D4064:152B-13	nges pa'i tshig bstan pa'i phyir /	nges ba tshig ston ba phyir 
T06D4064:152B-14	de la gnas te rab 'byung zhing //	de la gnas te rab mang zhing 
T06D4064:152B-15	de la dmigs pa yid ces bya //	de la dmigs ba yid ces byed 
T06D4064:152B-16	rnam shes ngar sems bdag nyid can //	rnam shes ngar sems bdag nyid can 
T06D4064:152B-17	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:152B-18	de la gnas te rab tu 'byung zhes bya ba la /	de la gnas te rab tu mang zhes byed ba la 
T06D4064:152B-19	de la zhes bya ba'i sgra ni kun gzhi rnam par shes pa nyid la sbyar ro //	de la zhes byed ba sgra ni kun gzhi rnam ba shes ba nyid la sbyor ro 
T06D4064:152B-20	kun gzhi rnam par shes pa ni de'i bag chags kyi gnas yin te /	kun gzhi rnam ba shes ba ni de bag chags kyi gnas yin te 
T06D4064:152B-21	de bas na de la gnas bcas nas 'byung ste /	de ba na de la gnas 'cha' nas mang ste 
T06D4064:152B-22	rgyun gyis skye zhes bya ba'i tha tshig go //	rgyun gyis skye zhes byed ba tha tshig go 
T06D4064:152B-23	yang na khams sems gang du kun gzhi rnam par shes pa rnam par smin pa thob par nyon mongs pa can gyi yid de yang khams de dang sa de'i yin te /	yang na khams sems gang du kun gzhi rnam ba shes ba rnam ba smin ba 'thob ba nyon mongs ba can gyi yid de yang khams de dang sa de yin te 
T06D4064:152B-24	de kun gzhi de la rag lus pas 'jug pa'i phyir de la gnas te 'byung ba'o //	de kun gzhi de la rag lus ba mang ba phyir de la gnas te mang ba 
T06D4064:152B-25	de la dmigs pa zhes bya ba ni kun gzhi rnam par shes pa nyid la dmigs pa ste /	de la dmigs ba zhes byed ba ni kun gzhi rnam ba shes ba nyid la dmigs ba ste 
T06D4064:152B-26	'jig tshogs la lta ba la sogs pa dang mtshungs par ldan bas kun gzhi rnam par shes pa lang dang nga yir dmigs pa'i phyir ro //	mang tshogs la lta ba la sogs ba dang mtshungs ba ldan ba kun gzhi rnam ba shes ba lang dang nga yir dmigs ba phyir ro 
T06D4064:152B-27	ji ltar na sems gang las byung ba de nyid de'i dmigs par 'gyur zhe na /	ji ltar na sems gang las 'byung ba de nyid de dmigs ba mang zhe na 
T06D4064:152B-28	ji ltar kha cig de mi 'dod kyang dus la lar sems gang las yid kyi rnam par shes pa 'byung ba de nyid dmigs pa yin zhing de 'byung ba lta bu'o //	ji ltar kha cig de mi mang kyang dus la lar sems gang las yid kyi rnam ba shes ba mang ba de nyid dmigs ba yin zhing de mang ba lta bu 
T06D4064:153A-0	yid ces @153a * //	yid ces 
T06D4064:153A-1	bya ba'i rnam par shes pa ni yid ces bya ba'i rnam par shes pa kun gzhi rnam par shes pa gang yin pa de la brten te 'byung ba'o //	byed ba rnam ba shes ba ni yid ces byed ba rnam ba shes ba kun gzhi rnam ba shes ba gang yin ba de la rten te mang ba 
T06D4064:153A-2	de la dmigs pa yid ces bya //	de la dmigs ba yid ces byed 
T06D4064:153A-3	zhes bya ba 'dis ni kun gzhi rnam par shes pa dang /	zhes byed ba mang ni kun gzhi rnam ba shes ba dang 
T06D4064:153A-4	'jug pa'i rnam par shes pa las rnam par 'byed do //	mang ba rnam ba shes ba las rnam ba mang do 
T06D4064:153A-5	yang de'i rang bzhin gang yin snyam pa la /	yang de rang bzhin gang yin snyam ba la 
T06D4064:153A-6	ngar sems bdag nyid can zhes bya ba smos te /	ngar sems bdag nyid can zhes byed ba smos te 
T06D4064:153A-7	de ltar ngar sems pa'i bdag nyid yin pas nges pa'i tshig gi tshul gyis yid ces bya'o //	de ltar ngar sems ba bdag nyid yin ba nges ba tshig gi tshul gyis yid ces byed 
