segmentnrs	original	stemmed
T06D4064:170B-16	gzugs dang sgra la sogs pa tha mal dmigs pa yang rung ste /	gzugs dang sgra la sogs ba tha mal dmigs ba yang rung ste 
T06D4064:170B-17	shes pas sems las phyi rol du mi dmigs te /	shes ba sems las phyi rol du mi dmigs te 
T06D4064:170B-18	mi mthong mi 'dzin la mngon par zhen pa med cing don yang dag pa ji lta ba bzhin du mthong la /	mi mthong mi mang la mngon ba zhen ba med cing don yang 'dag ba ji lta ba bzhin du mthong la 
T06D4064:170B-19	dmus long lta bu ni ma yin pa de'i tshe rnam par shes pa'i 'dzin pa yang spangs shing rang gi sems kyi chos nyid la yang gnas pa yin te /	dmus long lta bu ni ma yin ba de tshe rnam ba shes ba mang ba yang spong shing rang gi sems kyi chos nyid la yang gnas ba yin te 
T06D4064:170B-20	'di nyid du gtan tshigs smos pa ;	mang nyid du gtan tshigs smos ba 
T06D4064:170B-21	gzung ba med pas de 'dzin med //	gzung ba med ba de mang med 
T06D4064:170B-22	ces bya'o //	ces byed 
T06D4064:170B-23	gzung ba yod na 'dzin par 'gyur te /	gzung ba yod na mang ba mang te 
T06D4064:170B-24	gzung ba med na ma yin no //	gzung ba med na ma yin no 
T06D4064:170B-25	gzung ba med na 'dzin pa med par yang rtogs par 'gyur gyi /	gzung ba med na mang ba med ba yang rtogs ba mang gyi 
T06D4064:170B-26	gzung ba med pa 'ba' zhig ni ma yin no //	gzung ba med ba mang 'jig ni ma yin no 
T06D4064:170B-27	de ltar na dmigs par bya ba dang /	de ltar na dmigs ba byed ba dang 
T06D4064:170B-28	dmigs par byed pa la rnam par mi rtog pas mnyam pa 'jig rten las 'das pa'i ye shes 'byung ste /	dmigs ba byed ba la rnam ba mi rtogs ba mnyam ba mang rten las mang ba ye shes mang ste 
T06D4064:170B-29	gzung ba dang 'dzin par mngon par zhen pa'i bag la nyal spong zhing rang gi sems kyi chos nyid la yang sems gnas par 'gyur ro //	gzung ba dang mang ba mngon ba zhen ba bag la nyal spong zhing rang gi sems kyi chos nyid la yang sems gnas ba mang ro 
T06D4064:170B-30	gal te de ltar rnam par rig pa tsam nyid la sems gnas par gyur pa de'i tshe /	gal te de ltar rnam ba rig ba tsam nyid la sems gnas ba gyur ba de tshe 
T06D4064:170B-31	ji skad bya zhe na /	ji skad byed zhe na 
T06D4064:170B-32	de'i phyir /	de phyir 
T06D4064:170B-33	de ni sems med mi dmigs pa //	de ni sems med mi dmigs ba 
T06D4064:170B-34	'jig rten 'das pa'i ye shes de //	mang rten mang ba ye shes de 
T06D4064:170B-35	gnas kyang gzhan du gyur pa ste //	gnas kyang gzhan du gyur ba ste 
T06D4064:170B-36	gnas ngan len gnyis spangs pas so //	gnas ngan len gnyis spong ba so 
T06D4064:170B-37	de nyid zag pa med dang dbyings //	de nyid zag ba med dang dbyings 
T06D4064:170B-38	bsam mi khyab dang dge dang bstan //	bsam mi khyab dang dge dang ston 
T06D4064:171A-0	de ni bde ba rnam grol @171a * //	de ni bde ba rnam grol 
T06D4064:171A-1	sku ;	sku 
T06D4064:171A-2	/ thub pa chen po'i chos zhes bya //	thub ba chen po chos zhes byed 
T06D4064:171A-3	tshigs su bcad pa 'di gnyis kyis rnam par rig pa tsam nyid la zhugs pa'i rnal 'byor pa'i mthong ba'i lam la brten te /	tshigs su gcod ba mang gnyis kyis rnam ba rig ba tsam nyid la 'jug ba rnal mang ba mthong ba lam la rten te 
T06D4064:171A-4	gong nas gong du bye brag tu 'gro bas 'bras bu phun sum tshogs pa bstan to //	gong nas gong du 'bye brag tu mang ba mang bu phun sum tshogs ba ston to 
T06D4064:171A-5	de la 'dzin pa'i sems med pa dang /	de la mang ba sems med ba dang 
T06D4064:171A-6	gzung ba'i don mi dmigs pa'i phyir /	gzung ba don mi dmigs ba phyir 
