segmentnrs	original	stemmed
T06D4064:148A-16	lho dang /	lho dang 
T06D4064:148A-17	nub dang ;	nub dang 
T06D4064:148A-18	byang la sogs pa'i phyogs tha dad pa med par 'gyur ro //	byang la sogs ba phyogs tha dad ba med ba mang ro 
T06D4064:148A-19	de'i phyir rnam par shes pa bzhin du rdul phra rab kyang lus pa med pa dang /	de phyir rnam ba shes ba bzhin du rdul phra rab kyang lus ba med ba dang 
T06D4064:148A-20	yul na mi gnas par 'gyur ro //	yul na mi gnas ba mang ro 
T06D4064:148A-21	de lta na 'o na phyi rol gyi don med pa'i phyir rnam par shes pa nyid don gyis rnam par 'byung ste /	de lta na mang na phyi rol gyi don med ba phyir rnam ba shes ba nyid don gyis rnam ba mang ste 
T06D4064:148A-22	rmi lam gyi rnam par shes pa dang mtshungs par khas blang ngo //	rmi lam gyi rnam ba shes ba dang mtshungs ba khas blang ngo 
T06D4064:148A-23	tshor ba la sogs pa dag kyang 'das pa dang ma 'ongs pa ni de'i rnam pa'i rnam par shes pa skyed pa ma yin te /	tshor ba la sogs ba 'dag kyang mang ba dang ma mang ba ni de rnam ba rnam ba shes ba skyed ba ma yin te 
T06D4064:148A-24	'gag pa dang ma skyes pa'i phyir ro //	mang ba dang ma skye ba phyir ro 
T06D4064:148A-25	da ltar gyi dag kyang da ltar gyi rnam par shes pa skyed pa ma yin te /	da ltar gyi 'dag kyang da ltar gyi rnam ba shes ba skyed ba ma yin te 
T06D4064:148B-0	skye ba'i @148b tshe na ni med pa'i phyir ro //	skye ba tshe na ni med ba phyir ro 
T06D4064:148B-1	skyes pa'i tshe na ni rnam par shes pa yang de'i rnam par shes pa'i phyir bya ba cung zad kyang med pas yid kyi rnam par shes pa yang dmigs pa med pa nyid du skye'o //	skye ba tshe na ni rnam ba shes ba yang de rnam ba shes ba phyir byed ba cung zad kyang med ba yid kyi rnam ba shes ba yang dmigs ba med ba nyid du skye 
T06D4064:148B-2	gzhan dag na re bdag dang chos dmigs su med na nya bar 'dogs par mi rung ste /	gzhan 'dag na re bdag dang chos dmigs su med na nya ba mang ba mi rung ste 
T06D4064:148B-3	nye bar 'dogs pa ni gsum yod na 'gyur gyi /	nye ba mang ba ni gsum yod na mang gyi 
T06D4064:148B-4	gang yang rung ba zhig med na mi 'gyur te /	gang yang rung ba 'jig med na mi mang te 
T06D4064:148B-5	don gyi dngos dang /	don gyi dngos dang 
T06D4064:148B-6	de dang 'dra ba'i yul gzhan dang /	de dang mang ba yul gzhan dang 
T06D4064:148B-7	de gnyi ga dang 'dra ba ste /	de gnyi ga dang mang ba ste 
T06D4064:148B-8	dper na don gyi dngos me dang de dang 'dra ba bram ze'i khye'u dang /	dper na don gyi dngos me dang de dang mang ba bram ze khye dang 
T06D4064:148B-9	de gnyi ga'i thun mong gi chos ser ba nyid dam rno ba nyid yod na bram ze'i khye'u la me nye bar 'dogs par byed pa lta bu'o zhes zer ro //	de gnyi ga thun mong gi chos ser ba nyid dam rno ba nyid yod na bram ze khye la me nye ba mang ba byed ba lta bu zhes zer ro 
T06D4064:148B-10	'di la bram ze'i khye'u la me nye bar 'dogs pa ni /	mang la bram ze khye la me nye ba mang ba ni 
T06D4064:148B-11	rigs ma rdzas shig nye bar 'dogs grang na nye bar 'dogs pa gnyi ga yang med do //	rigs ma rdzas shig nye ba mang grang na nye ba mang ba gnyi ga yang med do 
T06D4064:148B-12	de la re zhig thun mong gi chos ser ba nyid dam rno ba nyid ni me'i rigs kyis ma yin no //	de la re 'jig thun mong gi chos ser ba nyid dam rno ba nyid ni me rigs kyis ma yin no 
T06D4064:148B-13	thun mong gi chos med par bram ze'i khye'u la rigs nye bar gdags su mi rung ste /	thun mong gi chos med ba bram ze khye la rigs nye ba 'dogs su mi rung ste 
T06D4064:148B-14	ha cang thal bar 'gyur ro //	ha cang thal ba mang ro 
T06D4064:148B-15	rigs chos de gnyis dang ldan pa ma yin yang rno ba nyid dang ser ba nyid rigs med par mi 'byung ba'i phyir bram ze'i khye'u la rigs nye bar 'dogs par 'gyur ro zhe na /	rigs chos de gnyis dang ldan ba ma yin yang rno ba nyid dang ser ba nyid rigs med ba mi mang ba phyir bram ze khye la rigs nye ba mang ba mang ro zhe na 
T06D4064:148B-16	rigs med par yang rno ba nyid dang /	rigs med ba yang rno ba nyid dang 
T06D4064:148B-17	ser ba nyid bram ze'i khye'u la mthong ba'i phyir med par mi 'byung ba yang rigs pa ma yin no //	ser ba nyid bram ze khye la mthong ba phyir med ba mi mang ba yang rigs ba ma yin no 
T06D4064:148B-18	med par mi 'byung ba ni nye bar 'dogs pa la med de /	med ba mi mang ba ni nye ba mang ba la med de 
T06D4064:148B-19	me bzhin du bram ze'i khye'u la yang rigs yod pa'i phyir ro //	me bzhin du bram ze khye la yang rigs yod ba phyir ro 
T06D4064:148B-20	de bas na bram ze'i khye'u la rigs nye bar gdags su mi rung ngo //	de ba na bram ze khye la rigs nye ba 'dogs su mi rung ngo 
T06D4064:148B-21	rdzas su nye bar gdags su mi rung ste /	rdzas su nye ba 'dogs su mi rung ste 
T06D4064:148B-22	spyi'i chos med pa'i phyir ro //	spyi chos med ba phyir ro 
T06D4064:148B-23	me'i yon tan rno ba'am ser ba gang yin pa de nyid ni bram ze'i khye'u la med do //	me yon tan rno ba ser ba gang yin ba de nyid ni bram ze khye la med do 
T06D4064:148B-24	ci'i phyir zhe na /	ci phyir zhe na 
T06D4064:148B-25	de de las gzhan te /	de de las gzhan te 
T06D4064:148B-26	bye brag ni rang gi gnas dang 'brel ba'i phyir ro //	'bye brag ni rang gi gnas dang mang ba phyir ro 
T06D4064:148B-27	me'i yon tan med par bram ze'i khye'u la me nye bar gdags pa ni mi rigs so //	me yon tan med ba bram ze khye la me nye ba 'dogs ba ni mi rigs so 
T06D4064:148B-28	gal te me'i yon tan dang 'dra bas rigs so zhe na /	gal te me yon tan dang mang ba rigs so zhe na 
T06D4064:149A-0	de ltar na yang 'dra ba'i phyir me'i yon tan rno ba nyid dang ser ba nyid bram ze'i khye'u'i yon tan rno ba nyid dang ser ba @149a * //	de ltar na yang mang ba phyir me yon tan rno ba nyid dang ser ba nyid bram ze khye yon tan rno ba nyid dang ser ba 
T06D4064:149A-1	nyid la nye bar gdags su ni rung gi //	nyid la nye ba 'dogs su ni rung gi 
T06D4064:149A-2	yon tan 'dra bas bram ze'i khye'u la me nye bar gdags su ni mi rung ste /	yon tan mang ba bram ze khye la me nye ba 'dogs su ni mi rung ste 
T06D4064:149A-3	me na yon tan gyi 'dra ba dang 'brel ba med pa'i phyir ro //	me na yon tan gyi mang ba dang mang ba med ba phyir ro 
T06D4064:149A-4	de lta bas na rdzas nye bar gdags su yang mi rung ngo //	de lta ba na rdzas nye ba 'dogs su yang mi rung ngo 
T06D4064:149A-5	don gyi dngos kyang med de /	don gyi dngos kyang med de 
T06D4064:149A-6	de'i rang gi ngo bo ni shes pa dang brjod pa thams cad kyi yul las 'das pa'i phyir ro //	de rang gi ngo 'bo ni shes ba dang rjod ba thams cad kyi yul las mang ba phyir ro 
T06D4064:149A-7	gtso bo la shes pa dang brjod pa yon tan gyi tshul gyis 'jug par zad de /	gtso 'bo la shes ba dang rjod ba yon tan gyi tshul gyis mang ba zad de 
T06D4064:149A-8	de'i rang rang gi ngo bo la ni mi reg go //	de rang rang gi ngo 'bo la ni mi reg go 
T06D4064:149A-9	gzhan du na yon tan don med par 'gyur ro //	gzhan du na yon tan don med ba mang ro 
