segmentnrs	original	stemmed
T06D4064:154B-7	chos kyi bdag nyid kyi yul lo //	chos kyi bdag nyid kyi yul lo 
T06D4064:154B-8	yul la dmigs pa gang yin pa ni 'dzin pa dang rtog pa zhes bya ba'i tha tshig go //	yul la dmigs ba gang yin ba ni mang ba dang rtogs ba zhes byed ba tha tshig go 
T06D4064:154B-9	de yang ci dge ba'am mi dge ba'am lung du ma bstan pa zhig ce na /	de yang ci dge ba mi dge ba lung du ma ston ba 'jig ce na 
T06D4064:154B-10	de'i phyir /	de phyir 
T06D4064:154B-11	dge dang mi dge gnyi ga min //	dge dang mi dge gnyi ga min 
T06D4064:154B-12	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:154B-13	dge ba dang mi dge ba dang /	dge ba dang mi dge ba dang 
T06D4064:154B-14	gnyi ga min zhes bya ba lung du ma bstan pa'ang ma yin te /	gnyi ga min zhes byed ba lung du ma ston ba ma yin te 
T06D4064:154B-15	ma chags pa dang zhe sdang med pa dang gti mug med pa dang mtshungs par ldan pa ni dge ba'o //	ma chags ba dang zhe sdang med ba dang gti mug med ba dang mtshungs ba ldan ba ni dge ba 
T06D4064:154B-16	chags pa dang zhe sdang dang gti mug dang mtshungs par ldan pa ni mi dge ba'o //	chags ba dang zhe sdang dang gti mug dang mtshungs ba ldan ba ni mi dge ba 
T06D4064:154B-17	dge ba dang mi dge ba dang mtshungs par ldan pa ma yin pa ni gnyi ga ma yin pa ste /	dge ba dang mi dge ba dang mtshungs ba ldan ba ma yin ba ni gnyi ga ma yin ba ste 
T06D4064:154B-18	dge ba'ang ma yin mi dge ba'ang ma yin zhes bya ba'i tha tshig go //	dge ba ma yin mi dge ba ma yin zhes byed ba tha tshig go 
T06D4064:154B-19	de yang sems las byung ba ci 'dra ba dag dang mtshungs par ldan pa de dang mtshungs par ldan pa'i sems las byung ba ni ci snyed cig yod ce na /	de yang sems las 'byung ba ci mang ba 'dag dang mtshungs ba ldan ba de dang mtshungs ba ldan ba sems las 'byung ba ni ci snyed cig yod ce na 
T06D4064:154B-20	de'i phyir /	de phyir 
T06D4064:154B-21	kun du 'gro ba bye brag nges //	kun du mang ba 'bye brag nges 
T06D4064:154B-22	sems las byung ba dge ba dang //	sems las 'byung ba dge ba dang 
T06D4064:154B-23	de bzhin nyon mongs nye nyon mongs //	de bzhin nyon mongs nye nyon mongs 
T06D4064:154B-24	tshor ba gsum dang de mtshungs ldan //	tshor ba gsum dang de mtshungs ldan 
T06D4064:154B-25	zhes bya ba smos so //	zhes byed ba smos so 
