segmentnrs	original	stemmed
T06D4064:146B-0	@146b # //	
T06D4064:146B-1	rgya gar skad du /	rgya gar skad du 
T06D4064:146B-2	trim shi ka bh'a shyam /	trim 'chi ka bh shyam 
T06D4064:146B-3	bod skad du /	'bod skad du 
T06D4064:146B-4	sum cu pa'i bshad pa /	sum cu ba 'chad ba 
T06D4064:146B-5	bam po dang po /	bam po dang po 
T06D4064:146B-6	'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	mang dpal gzhon nur gyur ba la phyag mang lo 
T06D4064:146B-7	gang zag dang chos la bdag med pa ma rtogs pa dang log par rtogs pa rnams la gang zag dang chos la bdag med pa ma log par bstan pa'i phyir /	gang zag dang chos la bdag med ba ma rtogs ba dang log ba rtogs ba rnams la gang zag dang chos la bdag med ba ma log ba ston ba phyir 
T06D4064:146B-8	rnam par rig pa'i rab tu byed pa sum cu pa brtsams so //	rnam ba rig ba rab tu byed ba sum cu ba brtsams so 
T06D4064:146B-9	de la gang zag dang chos la bdag med par bstan pa'ang nyon mongs pa dang shes bya'i sgrib pa spangs pa'i phyir te /	de la gang zag dang chos la bdag med ba ston ba nyon mongs ba dang shes byed sgrib ba spong ba phyir te 
T06D4064:146B-10	'di ltar 'dod chags la sogs pa nyon mongs pa rnams ni bdag tu lta ba las byung ngo //	mang ltar mang chags la sogs ba nyon mongs ba rnams ni bdag tu lta ba las 'byung ngo 
T06D4064:146B-11	gang zag la bdag med par khong du chud pa ni 'jig tshogs la lta ba'i gnyen po yin pas na de spangs na nyon mongs pa thams cad spong bar 'gyur ro //	gang zag la bdag med ba khong du chud ba ni mang tshogs la lta ba gnyen po yin ba na de spong na nyon mongs ba thams cad spong ba mang ro 
T06D4064:146B-12	chos la bdag med par shes pa yang shes bya'i sgrib pa'i gnyen po yin pas shes bya'i sgrib pa spong bar 'gyur ro //	chos la bdag med ba shes ba yang shes byed sgrib ba gnyen po yin ba shes byed sgrib ba spong ba mang ro 
T06D4064:146B-13	nyon mongs pa dang shes bya'i sgrib pa spang ba yang thar pa dang thams cad mkhyen ba thob par bya ba'i phyir ro //	nyon mongs ba dang shes byed sgrib ba spong ba yang thar ba dang thams cad mkhyen ba 'thob ba byed ba phyir ro 
T06D4064:146B-14	nyon mongs pa rnams ni thar pa 'thob pa la bsgribs pas de'i phyir de dag spangs na thar pa 'thob par 'gyur ro //	nyon mongs ba rnams ni thar ba mang ba la sgrib ba de phyir de 'dag spong na thar ba mang ba mang ro 
T06D4064:146B-15	shes bya'i sgrib ba ni shes bya thams cad la ye shes 'jug pa'i bar du gcod par gyur pa nyon mongs pa can ma yin pa'i mi shes pa ste /	shes byed sgrib ba ni shes byed thams cad la ye shes mang ba ba du gcod ba gyur ba nyon mongs ba can ma yin ba mi shes ba ste 
T06D4064:146B-16	de spangs na shes bya'i rnam pa thams cad kun la chags pa med pa dang /	de spong na shes byed rnam ba thams cad kun la chags ba med ba dang 
T06D4064:146B-17	thogs pa med pa'i ye shes 'jug ste /	thogs ba med ba ye shes mang ste 
T06D4064:146B-18	de'i phyir thams cad mkhyen pa thob par 'gyur ro //	de phyir thams cad mkhyen ba 'thob ba mang ro 
T06D4064:146B-19	yang na chos dang gang zag la mngon par zhen pa dag sems tsam du yang dag pa ji lta ba bzhin du rab tu mi shes te /	yang na chos dang gang zag la mngon ba zhen ba 'dag sems tsam du yang 'dag ba ji lta ba bzhin du rab tu mi shes te 
T06D4064:147A-0	de'i phyir chos dang gang zag la bdag med par bstan pas rnam par rig pa tsam 'bras bu dang bcas pa la mthar gyis 'jug @147a * //	de phyir chos dang gang zag la bdag med ba ston ba rnam ba rig ba tsam mang bu dang 'cha' ba la mthar gyis mang 
T06D4064:147A-1	par bya ba'i phyir rab tu byed pa 'di brtsams so //	ba byed ba phyir rab tu byed ba mang brtsams so 
T06D4064:147A-2	yang na rnam par shes pa bzhin du shes bya yang rdzas nyid du kha cig sems pa dang /	yang na rnam ba shes ba bzhin du shes byed yang rdzas nyid du kha cig sems ba dang 
T06D4064:147A-3	gzhan dag shes bya bzhin du rnam par shes pa yang kun rdzob nyid du yod kyi don dam par ni med do snyam du sems pa mtha' gcig tu smra ba 'di rnam pa gnyis dgag pa'i phyir rab tu byed pa 'di brtsams so //	gzhan 'dag shes byed bzhin du rnam ba shes ba yang kun rdzob nyid du yod kyi don dam ba ni med do snyam du sems ba mtha gcig tu smra ba mang rnam ba gnyis 'gog ba phyir rab tu byed ba mang brtsams so 
T06D4064:147A-4	bdag dang chos su nyer 'dogs pa //	bdag dang chos su nyer mang ba 
T06D4064:147A-5	sna tshogs dag ni gang byung ba //	sna tshogs 'dag ni gang 'byung ba 
T06D4064:147A-6	'jig rten pa dang bstan bcos la'o //	mang rten ba dang ston 'chos la 
T06D4064:147A-7	zhes bya ba ni tshig gi lhag ma'o //	zhes byed ba ni tshig gi lhag ma 
T06D4064:147A-8	de ni rnam par shes par gyur //	de ni rnam ba shes ba gyur 
T06D4064:147A-9	bdag dang chos su nyer 'dogs pa //	bdag dang chos su nyer mang ba 
T06D4064:147A-10	zhes bya ba dang sbyar ro //	zhes byed ba dang sbyor ro 
T06D4064:147A-11	bdag dang chos su nye bar 'dogs pas /	bdag dang chos su nye ba mang ba 
T06D4064:147A-12	bdag dang chos su nyer 'dogs pa ste /	bdag dang chos su nyer mang ba ste 
T06D4064:147A-13	de yang bdag tu btags pa dang /	de yang bdag tu 'dogs ba dang 
T06D4064:147A-14	chos su btags pa'o //	chos su 'dogs ba 
T06D4064:147A-15	sna tshogs zhes bya ba ni rnam pa du ma ste /	sna tshogs zhes byed ba ni rnam ba du ma ste 
T06D4064:147A-16	bdag dang srog dang /	bdag dang srog dang 
T06D4064:147A-17	skye ba po dang /	skye ba po dang 
T06D4064:147A-18	shed las skyes pa dang /	shed las skye ba dang 
T06D4064:147A-19	shed bu dang /	shed bu dang 
T06D4064:147A-20	de dag la sogs pa dag ni bdag tu nye bar 'dogs pa'o //	de 'dag la sogs ba 'dag ni bdag tu nye ba mang ba 
T06D4064:147A-21	phung po dang /	'phung po dang 
T06D4064:147A-22	khams dang /	khams dang 
T06D4064:147A-23	skye mched rnams dang /	skye mched rnams dang 
T06D4064:147A-24	gzugs dang /	gzugs dang 
T06D4064:147A-25	tshor ba dang /	tshor ba dang 
T06D4064:147A-26	'du shes dang /	mang shes dang 
T06D4064:147A-27	'du byed dang /	mang byed dang 
