segmentnrs	original	stemmed
T06D4064:164B-12	phung po dang /	'phung po dang 
T06D4064:164B-13	khams dang skye mched dang /	khams dang skye mched dang 
T06D4064:164B-14	gzugs dang sgra la sogs pa'i dngos po de dag med pas /	gzugs dang sgra la sogs ba dngos po de 'dag med ba 
T06D4064:164B-15	de'i phyir rnam par shes pa gyur pa rnam par rtog pa zhes bya ste /	de phyir rnam ba shes ba gyur ba rnam ba rtogs ba zhes byed ste 
T06D4064:164B-16	dmigs pa med pa'i phyir ro //	dmigs ba med ba phyir ro 
T06D4064:164B-17	de'i dmigs pa de med par ji ltar shes she na /	de dmigs ba de med ba ji ltar shes she na 
T06D4064:164B-18	gang gi rgyu gang yin pa de tshogs pa dang 'gal ba yang med na de 'byung bar 'gyur te /	gang gi rgyu gang yin ba de tshogs ba dang mang ba yang med na de mang ba mang te 
T06D4064:164B-19	gzhan du ni ma yin no //	gzhan du ni ma yin no 
T06D4064:164B-20	rnam par shes pa ni sgyu ma dang dri za'i grong khyer dang /	rnam ba shes ba ni sgyu ma dang 'dri za grong 'khyer dang 
T06D4064:164B-21	rmi lam dang rab rib la sogs pa dmigs pa med pa la yang 'byung ngo //	rmi lam dang rab rib la sogs ba dmigs ba med ba la yang mang ngo 
T06D4064:164B-22	rnam par shes pa 'byung ba gal te dmigs pa'i khar las na ni de lta na go sgyu ma la sogs pa dag la don med pas rnam par shes pa 'byung bar mi 'gyur ro //	rnam ba shes ba mang ba gal te dmigs ba khar las na ni de lta na go sgyu ma la sogs ba 'dag la don med ba rnam ba shes ba mang ba mi mang ro 
T06D4064:164B-23	de bas na snga ma 'gags pa de dang rigs gcig pa'i rnam par shes pa las rnam par shes pa 'byung ste /	de ba na snga ma mang ba de dang rigs gcig ba rnam ba shes ba las rnam ba shes ba mang ste 
T06D4064:164B-24	de med kyang phyi rol gyi don las ni ma yin no //	de med kyang phyi rol gyi don las ni ma yin no 
T06D4064:164B-25	don tha dad pa ma yin pa las rtog par byed pa rnams phan tshun mi mthun par shes par mthong ste /	don tha dad ba ma yin ba las rtogs ba byed ba rnams phan tshun mi mthun ba shes ba mthong ste 
T06D4064:164B-26	gcig ni phan tshun mi mthun pa du ma'i bdag nyid du mi rung ngo //	gcig ni phan tshun mi mthun ba du ma bdag nyid du mi rung ngo 
T06D4064:164B-27	de bas na sgro btags pa'i ngo bo yin pa'i phyir rnam par rtog pa'i dmigs pa med par shes par bya'o//	de ba na sgro 'dogs ba ngo 'bo yin ba phyir rnam ba rtogs ba dmigs ba med ba shes ba 
T06D4064:164B-28	'dis ni re zhig sgro btags pa'i mtha' spangs nas /	mang ni re 'jig sgro 'dogs ba mtha spong nas 
T06D4064:164B-29	skur ba'i mtha' spang bar 'dod pas /	skur ba mtha spong ba mang ba 
T06D4064:164B-30	des na 'di thams cad rnam par rig pa tsam zhes bya ba smos so //	des na mang thams cad rnam ba rig ba tsam zhes byed ba smos so 
T06D4064:164B-31	des na zhes bya ba ni de bas na'o //	des na zhes byed ba ni de ba na 
T06D4064:164B-32	'di ltar gyur pa'i bdag nyid rnam par rtog pas gang rnam par rtog pa de med de /	mang ltar gyur ba bdag nyid rnam ba rtogs ba gang rnam ba rtogs ba de med de 
T06D4064:165A-0	de bas @165a * //	de ba 
T06D4064:165A-1	na yul med pas thams cad rnam par rig pa tsam mo //	na yul med ba thams cad rnam ba rig ba tsam mo 
T06D4064:165A-2	thams cad ces bya ba ni khams gsum pa dang /	thams cad ces byed ba ni khams gsum ba dang 
T06D4064:165A-3	'dus ma byas so //	mang ma byed so 
T06D4064:165A-4	tsam gyi sgra ni de las lhag pa'i yul gcad pa'i tha tshig go //	tsam gyi sgra ni de las lhag ba yul gcod ba tha tshig go 
T06D4064:165A-5	pa ni rtsa ba bskang ba'o //	ba ni rtsa ba skong ba 
T06D4064:165A-6	gal te thams cad rnam par rig pa tsam kho na ste /	gal te thams cad rnam ba rig ba tsam kho na ste 
T06D4064:165A-7	de las gzhan byed pa po dang /	de las gzhan byed ba po dang 
T06D4064:165A-8	byed pa med na rtsa ba'i rnam par shes par byin gyis brlabs pa las byed pa med par rnam par rtog pa rnams ji ltar 'byung snyam pa la /	byed ba med na rtsa ba rnam ba shes ba byin gyis brlabs ba las byed ba med ba rnam ba rtogs ba rnams ji ltar mang snyam ba la 
T06D4064:165A-9	de'i phyir /	de phyir 
T06D4064:165A-10	rnam shes sa bon thams cad pa //	rnam shes sa bon thams cad ba 
T06D4064:165A-11	phan tshun dag gi dbang gis ni //	phan tshun 'dag gi dbang gis ni 
T06D4064:165A-12	de lta de ltar 'gyur bar 'gro //	de lta de ltar mang ba mang 
T06D4064:165A-13	des na rnam rtog de de skye //	des na rnam rtogs de de skye 
T06D4064:165A-14	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:165A-15	de la chos thams cad skye nus pa dang ldan pas sa bon thams cad pa'o //	de la chos thams cad skye nus ba dang ldan ba sa bon thams cad ba 
T06D4064:165A-16	rnam par shes pa ni kun gzhi rnam par shes pa'o //	rnam ba shes ba ni kun gzhi rnam ba shes ba 
T06D4064:165A-17	rnam par shes pa sa bon thams cad pa ma yin pa'ang yod pas sa bon thams cad pa zhes bya ba smos so //	rnam ba shes ba sa bon thams cad ba ma yin ba yod ba sa bon thams cad ba zhes byed ba smos so 
T06D4064:165A-18	rnam par shes pa ma yin pa la yang kha cig sa bon thams cad bar rtog pas rnam par shes pa zhes bya ba smos so //	rnam ba shes ba ma yin ba la yang kha cig sa bon thams cad ba rtogs ba rnam ba shes ba zhes byed ba smos so 
T06D4064:165A-19	yang na tshig gcig la 'khrul pa yod pa'i phyir bye brag dang /	yang na tshig gcig la mang ba yod ba phyir 'bye brag dang 
T06D4064:165A-20	bye brag gi gzhi bstan te /	'bye brag gi gzhi ston te 
T06D4064:165A-21	de la nyes pa med do //	de la nyes ba med do 
T06D4064:165A-22	phan tshun dag gi dbang gis na //	phan tshun 'dag gi dbang gis na 
T06D4064:165A-23	de lta de ltar 'gyur bar 'gro //	de lta de ltar mang ba mang 
T06D4064:165A-24	zhes bya ba la kun gzhi snga ma'i gnas skabs las gzhan du 'gyur ba ni 'gyur ba'o //	zhes byed ba la kun gzhi snga ma gnas skabs las gzhan du mang ba ni mang ba 
