segmentnrs	original	stemmed
T06D4064:161A-11	de dang mi mthun pa ni rnam par ma zhi ba'o //	de dang mi mthun ba ni rnam ba ma zhi ba 
T06D4064:161A-12	de ni 'dod chags dang mthun pa sngon dgod dgod pa dang dga' dga' ba dang /	de ni mang chags dang mthun ba sngon 'god 'god ba dang dga dga ba dang 
T06D4064:161A-13	rtse rtse ba rjes su dran nas sems rnam par ma zhi ba'i rgyu ste /	rtse rtse ba rjes su dran nas sems rnam ba ma zhi ba rgyu ste 
T06D4064:161A-14	zhig nas kyi bar du gcod pa'i las can no //	'jig nas kyi ba du gcod ba las can no 
T06D4064:161A-15	ma dad pa ni las dang 'bras bu dang /	ma dad ba ni las dang mang bu dang 
T06D4064:161A-16	bden pa dang dkon mchog rnams la mngon par yid ma ches pa ste /	bden ba dang dkon(d) mchog rnams la mngon ba yid ma ches ba ste 
T06D4064:161A-17	dad pa'i mi mthun pa'i phyogs so //	dad ba mi mthun ba phyogs so 
T06D4064:161A-18	dad pa ni yod pa dang yon tan can dang nus pa rnams la mngon par yid ches pa dang /	dad ba ni yod ba dang yon tan can dang nus ba rnams la mngon ba yid ches ba dang 
T06D4064:161A-19	dang pa dang 'dod pa ste /	dang ba dang mang ba ste 
T06D4064:161A-20	go rims bzhin no //	go rims bzhin no 
T06D4064:161A-21	ma dad pa ni de las bzlog pa ste /	ma dad ba ni de las bzlog ba ste 
T06D4064:161A-22	yod pa dang yon tan can dang nus pa rnams la mngon par yid mi ches pa dang ma dad pa dang mi 'dod pa ste /	yod ba dang yon tan can dang nus ba rnams la mngon ba yid mi ches ba dang ma dad ba dang mi mang ba ste 
T06D4064:161A-23	le lo'i rten byed pa'i las can no //	le lo rten byed ba las can no 
T06D4064:161A-24	ma dad pa ni spyir ba la 'dun pa med pa'i phyir le lo'i rten byed pa'i las can nyid do //	ma dad ba ni spyir ba la mang ba med ba phyir le lo rten byed ba las can nyid do 
T06D4064:161A-25	lo lo ni dge ba la sems mngon par mi spro ba ste /	lo lo ni dge ba la sems mngon ba mi spro ba ste 
T06D4064:161A-26	brtson 'grus kyi mi mthun pa'i phyogs so //	brtson mang kyi mi mthun ba phyogs so 
T06D4064:161A-27	nyal ba dang sces [?] pa dang 'phres pa'i bde ba la brten nas gti mug gi char gtogs pas lus dang ngag dang yid kyi las dge ba la sems mngon par spro ba med pa gang yin pa'o //	nyal ba dang sces ba dang mang ba bde ba la rten nas gti mug gi char gtogs ba lus dang ngag dang yid kyi las dge ba la sems mngon ba spro ba med ba gang yin ba 
T06D4064:161A-28	'di ni dge ba'i phyogs la sbyor ba'i bar du gcod pa'i las can no //	mang ni dge ba phyogs la sbyor ba ba du gcod ba las can no 
T06D4064:161A-29	bag med pa ni chags pa dang zhe sdang dang gti mug dang le lo gang yin pa dag gis 'dod chags dang zhe sdang dang gti mug la sogs pa las sems mi srung ba dang /	bag med ba ni chags ba dang zhe sdang dang gti mug dang le lo gang yin ba 'dag gis mang chags dang zhe sdang dang gti mug la sogs ba las sems mi srung ba dang 
T06D4064:161A-30	de'i gnyen por gyur pa dge ba la mi sgom pa ste /	de gnyen por gyur ba dge ba la mi sgom ba ste 
T06D4064:161A-31	chags pa dang zhe sdang dang gti mug dang le lo dag la bag med pa gdags so //	chags ba dang zhe sdang dang gti mug dang le lo 'dag la bag med ba 'dogs so 
T06D4064:161A-32	'di ni mi dge ba 'phel ba dang /	mang ni mi dge ba mang ba dang 
T06D4064:161B-0	dge ba 'grib @161b ba'i rten byed pa'i las can no //	dge ba mang ba rten byed ba las can no 
T06D4064:161B-1	brjed ngas pa ni dran pa nyon mongs pa can yin no //	brjed ngas ba ni dran ba nyon mongs ba can yin no 
T06D4064:161B-2	nyon mongs pa can zhes bya ba ni nyon mongs pa dang mtshungs par ldan ba'o //	nyon mongs ba can zhes byed ba ni nyon mongs ba dang mtshungs ba ldan ba 
T06D4064:161B-3	'di ni rnam par g-yeng ba'i rten byed pa'i las can no //	mang ni rnam ba g-yeng ba rten byed ba las can no 
T06D4064:161B-4	rnam par g-yeng ba ni 'dod chags dang zhe sdang dang gti mug gi char gtogs pa sems rnam par 'phro ba'o //	rnam ba g-yeng ba ni mang chags dang zhe sdang dang gti mug gi char gtogs ba sems rnam ba mang ba 
T06D4064:161B-5	'dis sems sna tshogs su g-yeng bar byed pas rnam par g-yeng ba'o //	mang sems sna tshogs su g-yeng ba byed ba rnam ba g-yeng ba 
