segmentnrs	original	stemmed
T06D4064:159A-22	de la khro ba ni 'phral du gnod pa byed pa gnas te /	de la khro ba ni mang du gnod ba byed ba gnas te 
T06D4064:159A-23	sems kyi kun nas mnar sems pa gang yin pa'o //	sems kyi kun nas mnar sems ba gang yin ba 
T06D4064:159A-24	'di yang kun nas mnar sems kyi rang bzhin yin bas khong khro ba dang tha dad pa ma yin mod kyi 'di ni khong khro ba'i dus skabs kyi bye brag la btags pa'i phyir khong khro ba'i char gtogs pa ste /	mang yang kun nas mnar sems kyi rang bzhin yin ba khong khro ba dang tha dad ba ma yin mod kyi mang ni khong khro ba dus skabs kyi 'bye brag la 'dogs ba phyir khong khro ba char gtogs ba ste 
T06D4064:159A-25	'phral du gnod par byed pa la gnas nas sems can dang sems can ma yin pa'i yul la sems kyi kun nas mnar sems pa ste /	mang du gnod ba byed ba la gnas nas sems can dang sems can ma yin ba yul la sems kyi kun nas mnar sems ba ste 
T06D4064:159A-26	chad pas gcod pa la sogs pa'i rten byed pa'i las can gang yin pa de khro ba zhes gdags so //	'chad ba gcod ba la sogs ba rten byed ba las can gang yin ba de khro ba zhes 'dogs so 
T06D4064:159A-27	khon du 'dzin pa ni mdud par 'dzin pa ste /	khon du mang ba ni mdud ba mang ba ste 
T06D4064:159A-28	khros pa'i 'og tu 'dis bdag la gnod pa 'di byas so zhes mdud par 'dzin ba'i bdag nyid shar gnyer ba de mi gtong bar rgyun du 'byung ba ni khon du 'dzin pa'o //	khro ba mang tu mang bdag la gnod ba mang byed so zhes mdud ba mang ba bdag nyid 'char gnyer ba de mi gtong ba rgyun du mang ba ni khon du mang ba 
T06D4064:159A-29	'di ni mi bzod pa'i rten byed pa'i las can no //	mang ni mi bzod ba rten byed ba las can no 
T06D4064:159A-30	mi bzod pa ni gnod pa byed ba la ji mi snyam par mi byed kyi lan du gnod pa byed 'dod ces bya ba'i tha tshig ste /	mi bzod ba ni gnod ba byed ba la ji mi snyam ba mi byed kyi lan du gnod ba byed mang ces byed ba tha tshig ste 
T06D4064:159B-0	'di yang khro ba bzhin du zhe @159b sdang gi dus skabs kyi bye brag la gdags pa yin pas de'i phyir btags pa'i yod par rig par bya'o //	mang yang khro ba bzhin du zhe sdang gi dus skabs kyi 'bye brag la 'dogs ba yin ba de phyir 'dogs ba yod ba rig ba byed 
T06D4064:159B-1	'chab pa ni bdag gi kha na ma tho ba mkhyud pa ste /	mang ba ni bdag gi kha na ma tho ba mkhyud ba ste 
T06D4064:159B-2	'dun pa dang zhe sdang dang 'jigs pa la sogs pa bstsal te /	mang ba dang zhe sdang dang mang ba la sogs ba bstsal te 
T06D4064:159B-3	de la phan par 'dod ba'i gleng bar byed pas dus su khyod 'di lta bu byed pa'o zhes bstan na gti mug gi char gtogs pas kha na ma tho ba mkhyud pa ni 'chab pa'o //	de la phan ba mang ba gleng ba byed ba dus su khyod mang lta bu byed ba zhes ston na gti mug gi char gtogs ba kha na ma tho ba mkhyud ba ni mang ba 
T06D4064:159B-4	'chab pa ni gti mug gi char gtogs pa nyid de /	mang ba ni gti mug gi char gtogs ba nyid de 
T06D4064:159B-5	mkhyud pa'i rnam pa yin pa'i phyir ro //	mkhyud ba rnam ba yin ba phyir ro 
T06D4064:159B-6	'di ni 'gyod pa dang reg par mi gnas pa'i rten byed pa'i las can no //	mang ni mang ba dang reg ba mi gnas ba rten byed ba las can no 
T06D4064:159B-7	'di ni chos nyid yin te /	mang ni chos nyid yin te 
T06D4064:159B-8	de kha na ma tho ba mkhyud pa na 'gyod par 'gyur ro //	de kha na ma tho ba mkhyud ba na mang ba mang ro 
T06D4064:159B-9	'gyod na gdon mi za bar yid mi bde ba dang mtshungs par ldan par 'gyur bas reg par mi gnas so //	mang na 'don mi za ba yid mi bde ba dang mtshungs ba ldan ba mang ba reg ba mi gnas so 
T06D4064:159B-10	'tshig pa ni tshig brlang pos zher 'debs pa nyid do //	mang ba ni tshig brlang pos zher mang ba nyid do 
T06D4064:159B-11	'tshig brlang po ni mtshang 'dru ba'i tshul gyis zhe gcod pa dang /	mang brlang po ni mtshang mang ba tshul gyis zhe gcod ba dang 
T06D4064:159B-12	tshig rtsub pa'o //	tshig rtsub ba 
T06D4064:159B-13	zher 'debs par byed pa'i dang tshul ni zher 'debs pa ste /	zher mang ba byed ba dang tshul ni zher mang ba ste 
T06D4064:159B-14	de'i dngos po ni zher 'debs pa nyid do //	de dngos po ni zher mang ba nyid do 
T06D4064:159B-15	tshig brlang pos za ba dang 'dra bar zher 'debs pas tshig brlang pos zher 'debs pa nyid do //	tshig brlang pos za ba dang mang ba zher mang ba tshig brlang pos zher mang ba nyid do 
