segmentnrs	original	stemmed
T06D4064:166A-20	de la kun gzhi rnam par shes pa las gzhan 'du byed kyi rkyen gyis rnam par shes par mi rung ste /	de la kun gzhi rnam ba shes ba las gzhan mang byed kyi rkyen gyis rnam ba shes ba mi rung ste 
T06D4064:166A-21	'du byed kyi rkyen gyis rnam par shes pa med na 'jug pa'ang med par 'gyur ro //	mang byed kyi rkyen gyis rnam ba shes ba med na mang ba med ba mang ro 
T06D4064:166A-22	kun gzhi rnam par shes pa khas mi len na nyid mtshams sbyor ba'i rnam par shes pa'am /	kun gzhi rnam ba shes ba khas mi len na nyid mtshams sbyor ba rnam ba shes ba 
T06D4064:166A-23	'du byed kyis yongs su bsgos pa'i rnam par shes pa'i tshogs drug po de dag 'du byed kyi rkyen las 'byung bar brtag grang na /	mang byed kyis yongs su sgo ba rnam ba shes ba tshogs drug po de 'dag mang byed kyi rkyen las mang ba rtog grang na 
T06D4064:166A-24	de la 'du byed gang yin pa dag ni nying mtshams sbyor ba'i rnam par shes pa'i rkyen du mi 'dod de /	de la mang byed gang yin ba 'dag ni nying mtshams sbyor ba rnam ba shes ba rkyen du mi mang de 
T06D4064:166A-25	de dag ni 'gags nas ring du lon pa'i phyir ro //	de 'dag ni mang nas ring du lon ba phyir ro 
T06D4064:166A-26	'gags pa ni med pa'i phyir ro //	mang ba ni med ba phyir ro 
T06D4064:166A-27	med pa ni rkyen du mi rung bas 'du byed ni nying mtshams sbyor ba'i rnam par shes pa'i rkyen du mi rung ngo //	med ba ni rkyen du mi rung ba mang byed ni nying mtshams sbyor ba rnam ba shes ba rkyen du mi rung ngo 
T06D4064:166A-28	nying mtshams sbyor ba'i tshe na ming dang gzugs kyang yod de /	nying mtshams sbyor ba tshe na ming dang gzugs kyang yod de 
T06D4064:166A-29	rnam par shes pa 'ba' zhig ni ma yin na de la rnam par shes pa nyid 'du byed kyi rkyen gyis 'byung gi / ming dang gzugs ni ma yin no zhes bya ba 'di la rigs pa ci yod /	rnam ba shes ba mang 'jig ni ma yin na de la rnam ba shes ba nyid mang byed kyi rkyen gyis mang gi ming dang gzugs ni ma yin no zhes byed ba mang la rigs ba ci yod 
T06D4064:166B-0	de lta @166b bas na 'du byed kyi rkyen gyis ming dang gzugs yin gyi /	de lta ba na mang byed kyi rkyen gyis ming dang gzugs yin gyi 
T06D4064:166B-1	rnam par shes pa ni ma yin no zhes brjod par bya'o //	rnam ba shes ba ni ma yin no zhes rjod ba byed 
T06D4064:166B-2	rnam par shes pa'i rkyen gyis ming dang gzugs zhes bya ba gang yin /	rnam ba shes ba rkyen gyis ming dang gzugs zhes byed ba gang yin 
T06D4064:166B-3	gal te dus phyi ma pa gang yin pa'i rkyen no zhe na /	gal te dus phyi ma ba gang yin ba rkyen no zhe na 
T06D4064:166B-4	de nyid mtshams sbyor ba'i ming dang gzugs las rang bzhin bye brag tu 'gyur ba ci yod na /	de nyid mtshams sbyor ba ming dang gzugs las rang bzhin 'bye brag tu mang ba ci yod na 
T06D4064:166B-5	'di ltar de nyid rnam par shes pa'i rkyen gyis 'byung ba yin la snga ma ni ma yin /	mang ltar de nyid rnam ba shes ba rkyen gyis mang ba yin la snga ma ni ma yin 
T06D4064:166B-6	snga ma ni 'du byed kyi rkyen gyis byung ba yin la phyi ma ni ma yin /	snga ma ni mang byed kyi rkyen gyis 'byung ba yin la phyi ma ni ma yin 
T06D4064:166B-7	de'i phyir 'du byed kyi rkyen gyis ming dang gzugs nyid du 'gyur gyi /	de phyir mang byed kyi rkyen gyis ming dang gzugs nyid du mang gyi 
T06D4064:166B-8	nying mtshams sbyor ba'i rnam par shes pa yan lag gzhan kun du brtags pas ci zhig bya /	nying mtshams sbyor ba rnam ba shes ba yan lag gzhan kun du rtog ba ci 'jig byed 
T06D4064:166B-9	de lta bas na nying mtshams sbyor ba'i rnam par shes pa ni 'du byed kyi rkyen gyis 'byung bar mi rung ngo //	de lta ba na nying mtshams sbyor ba rnam ba shes ba ni mang byed kyi rkyen gyis mang ba mi rung ngo 
T06D4064:166B-10	rnam par shes pa'i tshogs drug po 'du byed kyis yongs su bsgos pa dag kyang 'du byed kyi rkyen gyis rnam par shes par mi rung ngo //	rnam ba shes ba tshogs drug po mang byed kyis yongs su sgo ba 'dag kyang mang byed kyi rkyen gyis rnam ba shes ba mi rung ngo 
T06D4064:166B-11	de ci'i phyir zhe na /	de ci phyir zhe na 
T06D4064:166B-12	rnam par shes pa ni rnam par smin pa'i bag chags dang /	rnam ba shes ba ni rnam ba smin ba bag chags dang 
T06D4064:166B-13	rgyu mthun pa'i bag chags bdag la skye mi nus te /	rgyu mthun ba bag chags bdag la skye mi nus te 
