segmentnrs	original	stemmed
T06D4064:155B-35	'bras bu dang ldan pa dang /	mang bu dang ldan ba dang 
T06D4064:155B-36	dkon mchog yod pa dang /	dkon(d) mchog yod ba dang 
T06D4064:155B-37	yon tan can dang nus pa dag la mngon par yid ches pa dang /	yon tan can dang nus ba 'dag la mngon ba yid ches ba dang 
T06D4064:156A-0	sems dang @156a * //	sems dang 
T06D4064:156A-1	ba dang /	ba dang 
T06D4064:156A-2	'dod pa'o //	mang ba 
T06D4064:156A-3	dad pa ni rnam pa gsum du 'gyur te /	dad ba ni rnam ba gsum du mang te 
T06D4064:156A-4	dngos po yod pa yon tan can nam /	dngos po yod ba yon tan can nam 
T06D4064:156A-5	yon tan can ma yin pa la yid ches pa'i rnam pa dang /	yon tan can ma yin ba la yid ches ba rnam ba dang 
T06D4064:156A-6	yod pa yon tan can la dang ba'i rnam pa dang /	yod ba yon tan can la dang ba rnam ba dang 
T06D4064:156A-7	yod pa yon tan thob bar byed dam skyes pa nus pa la 'dod pa'i rnam pa'o //	yod ba yon tan 'thob ba byed dam skye ba nus ba la mang ba rnam ba 
T06D4064:156A-8	sems dang ba zhes bya ba la /	sems dang ba zhes byed ba la 
T06D4064:156A-9	dad pa ni sems kyi rnyog pa dang mi mthun pas de'i phyir de dang mtshungs par ldan pa nyon mongs pa dang /	dad ba ni sems kyi rnyog ba dang mi mthun ba de phyir de dang mtshungs ba ldan ba nyon mongs ba dang 
T06D4064:156A-10	nye ba'i nyon mongs pa'i dri ma'i rnyog pa med pas sems dang ba la brten te dang bar 'gyur bas ngang ba zhes bya'o //	nye ba nyon mongs ba 'dri ma rnyog ba med ba sems dang ba la rten te dang ba mang ba ngang ba zhes byed 
T06D4064:156A-11	de ni 'dun pa'i rten byed pa'i las can no //	de ni mang ba rten byed ba las can no 
T06D4064:156A-12	ngo tsha shes pa ni bdag gam chos kyi dbang du byas te /	ngo tsha shes ba ni bdag gam chos kyi dbang du byed te 
T06D4064:156A-13	kha na ma tho bas 'dzem pa'o //	kha na ma tho ba mang ba 
T06D4064:156A-14	dam pa rnams kyis smad pa dang /	dam ba rnams kyis smad ba dang 
T06D4064:156A-15	rnam par smin pa mi 'dod pa yin pas /	rnam ba smin ba mi mang ba yin ba 
T06D4064:156A-16	sdig pa nyid kha na ma tho ba ste /	sdig ba nyid kha na ma tho ba ste 
T06D4064:156A-17	byas kyang rung ma byas kyang rung /	byed kyang rung ma byed kyang rung 
T06D4064:156A-18	kha na ma tho ba des /	kha na ma tho ba des 
T06D4064:156A-19	sems bag 'khums pa'i 'dzem pa gang yin pa de ni ngo tsha shes pa'o //	sems bag mang ba mang ba gang yin ba de ni ngo tsha shes ba 
T06D4064:156A-20	'di ni nyes par spyod pa legs par sdom pa'i rten byed pa'i las can no //	mang ni nyes ba spyod ba legs ba sdom ba rten byed ba las can no 
T06D4064:156A-21	khrel yod pa ni 'jig rten gyi dbang du byas te kha na ma tho bas 'dzem pa'o //	'khrel yod ba ni mang rten gyi dbang du byed te kha na ma tho ba mang ba 
T06D4064:156A-22	'jig rten na 'di ni smad pa ste /	mang rten na mang ni smad ba ste 
T06D4064:156A-23	bdag la las 'di lta bu rig na smod par 'gyur ro zhes tshigs su bcad pa ma yin pa la sogs ba'i 'jigs pas kha na ma tho ba la 'dzem pa ste /	bdag la las mang lta bu rig na smod ba mang ro zhes tshigs su gcod ba ma yin ba la sogs ba mang ba kha na ma tho ba la mang ba ste 
