segmentnrs	original	stemmed
T06D4064:157A-30	bsod nyams sel bas snying rje ba'o //	bsod nyams sel ba snying rje ba 
T06D4064:157A-31	bsod nyams zhes bya ba ni bde ba ste /	bsod nyams zhes byed ba ni bde ba ste 
T06D4064:157A-32	bde ba sel zhes bya ba'i tha tshig go //	bde ba sel zhes byed ba tha tshig go 
T06D4064:157B-0	snying rje can ni pha rol sdug @157b bsngal na sdug bsngal bar 'gyur ba'i phyir ro //	snying rje can ni pha rol sdug sngal na sdug sngal ba mang ba phyir ro 
T06D4064:157B-1	'di ni rnam par tho mi 'tshams pa'i las can no //	mang ni rnam ba tho mi mang ba las can no 
T06D4064:157B-2	dge ba bcu gcig bshad zin to /	dge ba 'chu gcig 'chad zin to 
T06D4064:157B-3	"//
 / de'i 'og tu nyon mongs pa rnams bstan pas de'i phyir de dag gi dbang du byas te /"	de mang tu nyon mongs ba rnams ston ba de phyir de 'dag gi dbang du byed te 
T06D4064:157B-4	nyon mongs ni /	nyon mongs ni 
T06D4064:157B-5	'dod chags khong khro gti mug dang //	mang chags khong khro gti mug dang 
T06D4064:157B-6	nga rgyal lta ba the tshom mo //	nga rgyal lta ba the tshom mo 
T06D4064:157B-7	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:157B-8	'dod chags dang khong khro ba dang gti mug ni 'dod chags khong khro gti mug go //	mang chags dang khong khro ba dang gti mug ni mang chags khong khro gti mug go 
T06D4064:157B-9	de la 'dod chags ni srid pa dang longs spyod la lhag par chags pa dang smon pa ste /	de la mang chags ni srid ba dang longs spyod la lhag ba chags ba dang smon ba ste 
T06D4064:157B-10	de ni sdug bsngal kun bskyed pa'i las can no //	de ni sdug sngal kun skyed ba las can no 
T06D4064:157B-11	sdug bsngal ni 'dir nye bar len pa'i phung po rnams te /	sdug sngal ni mang nye ba len ba 'phung po rnams te 
T06D4064:157B-12	de dag ni 'dod pa dang /	de 'dag ni mang ba dang 
T06D4064:157B-13	gzugs dang /	gzugs dang 
T06D4064:157B-14	gzugs med pa'i srid pa'i dbang gis mngon par 'grub pas de'i phyir 'dod chags kyi las ni sdug bsngal kun skyed par bshad do //	gzugs med ba srid ba dbang gis mngon ba mang ba de phyir mang chags kyi las ni sdug sngal kun skyed ba 'chad do 
T06D4064:157B-15	khong khro ba ni sems can rnams la kun nas mnar sems pa ste /	khong khro ba ni sems can rnams la kun nas mnar sems ba ste 
T06D4064:157B-16	sems can rnams la sems rtsub pa'o //	sems can rnams la sems rtsub ba 
T06D4064:157B-17	des non na sems can rnams la gsod pa dang 'ching ba la sogs pa'i gnod pa bya bar sems so //	des non na sems can rnams la gsod ba dang mang ba la sogs ba gnod ba byed ba sems so 
T06D4064:157B-18	de ni reg par mi gnas pa dang nyes par spyod pa'i rten byed pa'i las can no //	de ni reg ba mi gnas ba dang nyes ba spyod ba rten byed ba las can no 
T06D4064:157B-19	reg pa ni bde ba ste /	reg ba ni bde ba ste 
T06D4064:157B-20	de dang lhan cig gnas pa ni reg par gnas pa'o //	de dang lhan cig gnas ba ni reg ba gnas ba 
T06D4064:157B-21	reg pa dang gnas ma yin pa ni reg par mi gnas pa ste /	reg ba dang gnas ma yin ba ni reg ba mi gnas ba ste 
T06D4064:157B-22	sdug bsngal lhan cig ces bya ba'i tha tshig go //	sdug sngal lhan cig ces byed ba tha tshig go 
T06D4064:157B-23	kun nas mnar sems kyi sems yod na gdon mi za bar yid mi bde ba kun du 'byung ba'i phyir sems la gdung bar 'gyur ro //	kun nas mnar sems kyi sems yod na 'don mi za ba yid mi bde ba kun du mang ba phyir sems la gdung ba mang ro 
T06D4064:157B-24	sems kyi rjes su 'gyur bas lus la yang gdung bar yang 'gyur ba nyid de'i spyod lam thams cad du sdug bsngal dang bcas shing phongs ba dang bcas par gnas par 'gyur ro //	sems kyi rjes su mang ba lus la yang gdung ba yang mang ba nyid de spyod lam thams cad du sdug sngal dang 'cha' shing 'phong ba dang 'cha' ba gnas ba mang ro 
T06D4064:157B-25	zhe 'gras pa'i sems dang ldan pa ni nyes bar spyod pa gang dang yang rigs pa ma yin pas khong khro ba ni reg par mi gnas pa dang /	zhe mang ba sems dang ldan ba ni nyes ba spyod ba gang dang yang rigs ba ma yin ba khong khro ba ni reg ba mi gnas ba dang 
T06D4064:157B-26	nyes par spyod pa'i rten byed pa'i las can du bshad do //	nyes ba spyod ba rten byed ba las can du 'chad do 
T06D4064:157B-27	gti mug ni ngan song rnams dang bde 'gro dang mya ngan las 'das pa dang de thob par byed pa'i rgyu dang de dag gi rgyu dang 'bras bur 'brel pa phyin ci ma log pa la gang mi shes pa'o //	gti mug ni ngan 'gro rnams dang bde mang dang mya ngan las mang ba dang de 'thob ba byed ba rgyu dang de 'dag gi rgyu dang mang bur mang ba phyin ci ma log ba la gang mi shes ba 
T06D4064:158A-0	'di ni kun nas nyon mongs pa 'byung @158a * //	mang ni kun nas nyon mongs ba mang 
T06D4064:158A-1	ba'i rten byed pa'i las can no //	ba rten byed ba las can no 
T06D4064:158A-2	de la nyon mongs pa ste las dang /	de la nyon mongs ba ste las dang 
T06D4064:158A-3	skye ba'i bdag nyid ni kun nas nyon mongs pa rnam pa gsum mo //	skye ba bdag nyid ni kun nas nyon mongs ba rnam ba gsum mo 
T06D4064:158A-4	de 'byung ba ni kun nas nyon mongs pa'i snga ma snga ma rgyur gyur pa las kun nas nyon mongs pa phyi ma phyi ma'i bdag nyid rnyed pa'o //	de mang ba ni kun nas nyon mongs ba snga ma snga ma rgyur gyur ba las kun nas nyon mongs ba phyi ma phyi ma bdag nyid rnyed ba 
T06D4064:158A-5	'byung ba'i rten byed pa ni rmongs par gyur la log par shes pa dang the tshom dang 'dod chags la sogs pa nyon mongs pa las yang srid pa'i las dang skye ba rnams 'byung gi rmongs par ma gyur na ni ma yin no //	mang ba rten byed ba ni rmongs ba gyur la log ba shes ba dang the tshom dang mang chags la sogs ba nyon mongs ba las yang srid ba las dang skye ba rnams mang gi rmongs ba ma gyur na ni ma yin no 
T06D4064:158A-6	nga rgyal ni nga rgyal zhes bya ba thams cad kyang 'jig tshogs la lta ba la brten nas 'byung ba'o //	nga rgyal ni nga rgyal zhes byed ba thams cad kyang mang tshogs la lta ba la rten nas mang ba 
T06D4064:158A-7	de ni sems khengs pa'i mtshan nyid de /	de ni sems kheng ba mtshan nyid de 
T06D4064:158A-8	'di ltar phung po rnams la bdag gam bdag gi dngos por sgro btags nas /	mang ltar 'phung po rnams la bdag gam bdag gi dngos por sgro 'dogs nas 
T06D4064:158A-9	'di ni bdag go //	mang ni bdag go 
