segmentnrs	original	stemmed
T06D4064:162B-18	de la tshor ba btang snyoms nyid de /	de la tshor ba gtong snyom nyid de 
T06D4064:162B-19	ma bsgribs la lung du ma bstan pa'o //	ma sgrib la lung du ma ston ba 
T06D4064:162B-20	nyon mongs pa can gyi yid ni kun du 'gro ba lnga dang /	nyon mongs ba can gyi yid ni kun du mang ba lnga dang 
T06D4064:162B-21	bdag tu rmongs pa la sogs pa nyon mongs pa bzhi dang rtag tu mtshungs par ldan no //	bdag tu rmongs ba la sogs ba nyon mongs ba bzhi dang rtag tu mtshungs ba ldan no 
T06D4064:162B-22	de la yang tshor ba ni btang snyoms nyid de /	de la yang tshor ba ni gtong snyom nyid de 
T06D4064:162B-23	bsgribs la lung du ma bstan pa'o //	sgrib la lung du ma ston ba 
T06D4064:162B-24	de ni 'di bsam par bya ste ci mig gi rnam par shes pa la sogs pa lnga po dag cig car dmigs pa'i rkyen dang phrad kyang kun gzhi rnam par shes pa las gcig 'byung gi / gnyis dang mang po mi 'byung ste /	de ni mang bsam ba byed ste ci mig gi rnam ba shes ba la sogs ba lnga po 'dag cig car dmigs ba rkyen dang 'phrad kyang kun gzhi rnam ba shes ba las gcig mang gi gnyis dang mang po mi mang ste 
T06D4064:162B-25	ji ltar kha cig sems pa cig car gnyis dang mang po ma yin te /	ji ltar kha cig sems ba cig car gnyis dang mang po ma yin te 
T06D4064:162B-26	de ma thag pa'i rkyen med pas rnam par shes pa gcig kho na 'byung bar 'gyur te /	de ma thag ba rkyen med ba rnam ba shes ba gcig kho na mang ba mang te 
T06D4064:162B-27	rnam par shes pa gcig gis mang po'i de ma thag pa'i rkyen byed bar mi nus so snyam pa lta bu'am /	rnam ba shes ba gcig gis mang po de ma thag ba rkyen byed ba mi nus so snyam ba lta bu 
T06D4064:162B-28	'on te nges pa med de gal te gcig gi rkyen dang phrad na gcig 'byung bar 'gyur la /	mang te nges ba med de gal te gcig gi rkyen dang 'phrad na gcig mang ba mang la 
T06D4064:162B-29	de bzhin du gnyis dang mang po'i rkyen dang phrad na gnyis dang mang po yang 'byung bar 'gyur ram snyam pa la /	de bzhin du gnyis dang mang po rkyen dang 'phrad na gnyis dang mang po yang mang ba mang ram snyam ba la 
T06D4064:163A-0	de'i phyir @163a * //	de phyir 
T06D4064:163A-1	lnga rnams rtsa ba'i rnam shes las //	lnga rnams rtsa ba rnam shes las 
T06D4064:163A-2	ji lta'i rkyen las byung ba ni //	ji lta rkyen las 'byung ba ni 
T06D4064:163A-3	rnam shes lhan cig gam ma yin //	rnam shes lhan cig gam ma yin 
T06D4064:163A-4	chu las rlabs rnams ji bzhin no //	chu las rlabs rnams ji bzhin no 
T06D4064:163A-5	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:163A-6	lnga rnams zhes bya ba ni mig la sogs pa rnams par shes pa rnams te /	lnga rnams zhes byed ba ni mig la sogs ba rnams ba shes ba rnams te 
T06D4064:163A-7	de'i rjes su rgyu ba yid kyi rnam par shes pa dang bcas pa rnams so //	de rjes su rgyu ba yid kyi rnam ba shes ba dang 'cha' ba rnams so 
T06D4064:163A-8	lnga po rnams kyi sa bon gyi gnas yin pas de las byung ba dang /	lnga po rnams kyi sa bon gyi gnas yin ba de las 'byung ba dang 
T06D4064:163A-9	'gro ba rnams su skye ba nye bar len pa'i phyir kun gzhi rnam par shes pa ni rtsa ba'i rnam par shes pa zhes bya'o //	mang ba rnams su skye ba nye ba len ba phyir kun gzhi rnam ba shes ba ni rtsa ba rnam ba shes ba zhes byed 
T06D4064:163A-10	ji lta'i rkyen las zhes bya ba ni gang dang gang gi rkyen dang phrad pa de dang de nges par 'byung ste /	ji lta rkyen las zhes byed ba ni gang dang gang gi rkyen dang 'phrad ba de dang de nges ba mang ste 
T06D4064:163A-11	'byung ba ni bdag thob pa'o //	mang ba ni bdag 'thob ba 
T06D4064:163A-12	lhan cig gam ma yin zhes bya ba ni cig car ram rim gyis so //	lhan cig gam ma yin zhes byed ba ni cig car ram rim gyis so 
T06D4064:163A-13	chu la rlabs rnams ji bzhin zhes bya ba ni kun gzhi rnam par shes pa las 'jug pa'i rnam par shes pa cig car ram cig car ma yin par 'gyur ba'i dpe ste /	chu la rlabs rnams ji bzhin zhes byed ba ni kun gzhi rnam ba shes ba las mang ba rnam ba shes ba cig car ram cig car ma yin ba mang ba dpe ste 
T06D4064:163A-14	ji skad du blo gros yangs pa dper na chu bo'i chu rgyun du 'bab pa la gal te rlabs gcig 'byung ba'i rkyen nye bar gnas par gyur na rlabs gcig 'byung ngo //	ji skad du blo gros yangs ba dper na chu 'bo chu rgyun du mang ba la gal te rlabs gcig mang ba rkyen nye ba gnas ba gyur na rlabs gcig mang ngo 
T06D4064:163A-15	gal te gnyis sam gsum mam /	gal te gnyis sam gsum mam 
T06D4064:163A-16	rlabs mang po 'byung ba'i rkyen nye bar gnas par gyur na yang rlabs mang po 'byung ste /	rlabs mang po mang ba rkyen nye ba gnas ba gyur na yang rlabs mang po mang ste 
T06D4064:163A-17	chu bo'i chu rgyun yang chad par mi 'gyur la /	chu 'bo chu rgyun yang 'chad ba mi mang la 
T06D4064:163A-18	yongs su zad par yang mi mngon pa de bzhin du blo gros yangs pa chu bo de'i gnas lta bu'i kun gzhi rnam par shes pa la kun du brten cing rab tu gnas nas gal te mig gi rnam par shes pa la gcig pu 'byung ba'i rkyen nye bar gnas par gyur na mig gi rnam par shes pa gcig pu 'byung ngo //	yongs su zad ba yang mi mngon ba de bzhin du blo gros yangs ba chu 'bo de gnas lta bu kun gzhi rnam ba shes ba la kun du rten cing rab tu gnas nas gal te mig gi rnam ba shes ba la gcig pu mang ba rkyen nye ba gnas ba gyur na mig gi rnam ba shes ba gcig pu mang ngo 
T06D4064:163A-19	gal te rnam par shes pa gnyis sam gsum mam lnga 'byung ba'i rkyen nye bar gnas par gyur na yang gnyis sam gsum mam lnga'i bar du 'byung bar 'gyur ro zhes gsungs ba lta bu'o //	gal te rnam ba shes ba gnyis sam gsum mam lnga mang ba rkyen nye ba gnas ba gyur na yang gnyis sam gsum mam lnga ba du mang ba mang ro zhes gsungs ba lta bu 
T06D4064:163A-20	'di la tshigs su bcad pa /	mang la tshigs su gcod ba 
T06D4064:163A-21	len pa'i rnam par shes pa zab cing phra //	len ba rnam ba shes ba zab cing phra 
T06D4064:163A-22	sa bon thams cad chu bo bzhin du 'bab //	sa bon thams cad chu 'bo bzhin du mang 
T06D4064:163A-23	bdag tu rtog par gyur na mi rung zhes //	bdag tu rtogs ba gyur na mi rung zhes 
T06D4064:163A-24	'di ni byis pa rnams la ngas ma bstan //	mang ni byis ba rnams la ngas ma ston 
T06D4064:163A-25	zhe'o //	zhe 
T06D4064:163B-0	rnam par shes pa'i dmigs pa'i rkyen so sor nges pa bzhin du de ma thag pa'i rkyen ni mi @163b 'dod de /	rnam ba shes ba dmigs ba rkyen so sor nges ba bzhin du de ma thag ba rkyen ni mi mang de 
T06D4064:163B-1	rnam par shes pa thams cad 'byung ba de rnam par shes pa thams cad kyi de ma thag pa'i rkyen du khas len pas /	rnam ba shes ba thams cad mang ba de rnam ba shes ba thams cad kyi de ma thag ba rkyen du khas len ba 
T06D4064:163B-2	dmigs pa'i rkyen dang phrad na de ma thag pa'i rkyen gcig pu de las kyang rnam par shes pa gnyis sam mang po 'byung ste /	dmigs ba rkyen dang 'phrad na de ma thag ba rkyen gcig pu de las kyang rnam ba shes ba gnyis sam mang po mang ste 
T06D4064:163B-3	'gal bar mi 'gyur ro //	mang ba mi mang ro 
