/home/basti/code/dvarapandita/data/jna020_vyc:0	[161,2-178,6] || vyāpticarcā ||	vyApti NC Case=Cpd # carcA NC Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna020_vyc:1	 [161,3] namo bhagavate vītarāgāya |	namas NC Case=Nom|Number=1|Gender=Neut # Bagavant NC Case=Dat|Number=1|Gender=Masc # vI PPP Case=Cpd|VerbForm=PPP # rAga NC Case=Dat|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna020_vyc:2	[161,4] iha dahanādinā dhūmāder vyāptir adhyakṣānupalabdhisādhanatadutpattilakṣaṇeti vyutpādyate |	iha CAD # dahana NC Case=Cpd # Adi NC Case=Ins|Number=1|Gender=Masc # DUma NC Case=Cpd # Adi NC Case=Gen|Number=1|Gender=Masc # vyApti NC Case=Nom|Number=1|Gender=Fem # aDyakza NC Case=Cpd # anupalabDi NC Case=Cpd # sADana NC Case=Cpd # tad PRD Case=Cpd # utpatti NC Case=Cpd # lakzaNa NC Case=Cpd # iti CQT # vyutpAday V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna020_vyc:3	[161,5] pare hi purastanās tāvad agnimati dhūmasya darśanam adarśanaṃ ca tadvirahiṇīty evānvayavyatirekitvaṃ	para PPX Case=Nom|Number=3|Gender=Masc # hi CX # purastana JJ Case=Nom|Number=3|Gender=Masc # tAvat CX # agnimat JJ Case=Loc|Number=1|Gender=Masc # DUma NC Case=Gen|Number=1|Gender=Masc # darSana NC Case=Nom|Number=1|Gender=Neut # adarSana NC Case=Nom|Number=1|Gender=Neut # ca CCD # tad PRD Case=Cpd # virahin JJ Case=Nom|Number=1|Gender=Fem # iti CQT # eva CEM # anvaya NC Case=Cpd # vyatirekin JJ Case=Cpd # tva NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna020_vyc:4	[161,6] kalpayāṃ babhūvuḥ | tatra darśanādarśanaṃ yādṛcchikam api sakṛd bhaved iti ca bhūyaḥ pravṛttim	kalpay V Tense=Pres|Mood=Opt|Person=1|Number=Sing # BU V Tense=Perf|Mood=Ind|Person=3|Number=Plur # tatra CAD # darSana NC Case=Cpd # adarSana NC Case=Nom|Number=1|Gender=Neut # yAdRcCika JJ Case=Nom|Number=1|Gender=Neut # api CX # sakRt CX # BU V Tense=Pres|Mood=Opt|Person=3|Number=Sing # iti CQT # ca CCD # BUyas CX # pravRtti NC Case=Acc|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna020_vyc:5	[161,7] apekṣate | nanu bhūyasāpi pravṛtte darśanādarśane ghaṭakulaṭādāv upalabdho vyabhicāra iti	apekz V Tense=Pres|Mood=Ind|Person=3|Number=Sing # nanu CX # BUyas JJ Case=Ins|Number=1|Gender=Masc # api CX # pravRt PPP Case=Loc|Number=1|Gender=Neut|VerbForm=PPP # darSana NC Case=Cpd # adarSana NC Case=Loc|Number=1|Gender=Neut # Gawa NC Case=Cpd # kulawA NC Case=Cpd # Adi NC Case=Loc|Number=1|Gender=Masc # upalaB PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # vyaBicAra NC Case=Nom|Number=1|Gender=Masc # iti CQT #
/home/basti/code/dvarapandita/data/jna020_vyc:6	[161,8] cet | kim etāvatā tatrāpy anumānam astv ity ucyate | atha tadvad dhūmādāv api mā bhūd iti |	ced CX # ka PRQ Case=Nom|Number=1|Gender=Neut # etAvat JJ Case=Ins|Number=1|Gender=Masc # tatra CAD # api CX # anumAna NC Case=Nom|Number=1|Gender=Neut # as V Tense=Pres|Mood=Imp|Person=3|Number=Sing # iti CQT # vac V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # aTa CAD # tadvat CX # DUma NC Case=Cpd # Adi NC Case=Loc|Number=1|Gender=Masc # api CX # mA CNG # BU V Tense=Aor|Mood=Inj|Person=3|Number=Sing # iti CQT #
/home/basti/code/dvarapandita/data/jna020_vyc:7	[161,9] prathamapakṣas tāvad vyabhicārād eva nirastaḥ | dvitīyo 'py avyabhicārād eva | na hy anyasya	praTama JJ Case=Cpd # pakza NC Case=Nom|Number=1|Gender=Masc # tAvat CX # vyaBicAra NC Case=Abl|Number=1|Gender=Masc # eva CEM # niras PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # dvitIya JJ Case=Nom|Number=1|Gender=Masc # api CX # avyaBicAra NC Case=Abl|Number=1|Gender=Masc # eva CEM # na CNG # hi CX # anya PPX Case=Gen|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna020_vyc:8	[161,10] vyabhicāre dhūmasya kiṃcit | na khalu viṣānnam aniṣṭam iti bhakṣyāntaram api heyam astu |	vyaBicAra NC Case=Loc|Number=1|Gender=Masc # DUma NC Case=Gen|Number=1|Gender=Masc # kaScit PRI Case=Nom|Number=1|Gender=Neut # na CNG # Kalu CX # viza NC Case=Cpd # anna NC Case=Nom|Number=1|Gender=Neut # anizwa JJ Case=Nom|Number=1|Gender=Neut # iti CQT # Bakzya NC Case=Cpd # antara JJ Case=Nom|Number=1|Gender=Neut # api CX # hA KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger # as V Tense=Pres|Mood=Imp|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna020_vyc:9	[161,11] tāvatā ca sarvā nivṛttir labdheti | kim utpattiprārthanayā | tanniścayopayoginā vā pratyakṣānupalambhena |	tAvat JJ Case=Ins|Number=1|Gender=Masc # ca CCD # sarva JQ Case=Nom|Number=1|Gender=Fem # nivRtti NC Case=Nom|Number=1|Gender=Fem # laB PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # iti CQT # ka PRQ Case=Nom|Number=1|Gender=Neut # utpatti NC Case=Cpd # prArTanA NC Case=Ins|Number=1|Gender=Fem # tad PRD Case=Cpd # niScaya NC Case=Cpd # upayogin JJ Case=Ins|Number=1|Gender=Masc # vA CCD # pratyakza NC Case=Cpd # anupalamBa NC Case=Ins|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna020_vyc:10	[161,12] tadutpattir api yadi darśanādarśanād eva gṛhyeta kīdṛśo doṣaḥ | anumānam eva	tad PRD Case=Cpd # utpatti NC Case=Nom|Number=1|Gender=Fem # api CX # yadi CSB # darSana NC Case=Cpd # adarSana NC Case=Abl|Number=1|Gender=Neut # eva CEM # grah V Tense=Pres|Mood=Opt|Voice=Pass|Person=3|Number=Sing # kIdRSa JJ Case=Nom|Number=1|Gender=Masc # doza NC Case=Nom|Number=1|Gender=Masc # anumAna NC Case=Nom|Number=1|Gender=Neut # eva CEM #
/home/basti/code/dvarapandita/data/jna020_vyc:11	[161,13] ca vibhāgena bhavatv iti tadanveṣaṇam | sa ca vibhāgo vyabhicārāvyabhicāradvāreṇa	ca CCD # viBAga NC Case=Ins|Number=1|Gender=Masc # BU V Tense=Pres|Mood=Imp|Person=3|Number=Sing # iti CQT # tad PRD Case=Cpd # anvezaNa NC Case=Nom|Number=1|Gender=Neut # tad PRD Case=Nom|Number=1|Gender=Masc # ca CCD # viBAga NC Case=Nom|Number=1|Gender=Masc # vyaBicAra NC Case=Nom|Number=3|Gender=Masc # avyaBicAra NC Case=Cpd # dvAra NC Case=Ins|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna020_vyc:12	[161,14] siddhaḥ | asati ca vyabhicāre tāvataivagamakatvam anarthikā tadutpattiḥ | vyabhicāre	siD PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # asat JJ Case=Loc|Number=1|Gender=Masc # ca CCD # vyaBicAra NC Case=Loc|Number=1|Gender=Masc # tAvat JJ Case=Ins|Number=1|Gender=Masc # eva CEM # gamaka JJ Case=Cpd # tva NC Case=Nom|Number=1|Gender=Neut # anarTika JJ Case=Nom|Number=1|Gender=Fem # tad PRD Case=Cpd # utpatti NC Case=Nom|Number=1|Gender=Fem # vyaBicAra NC Case=Loc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna020_vyc:13	[161,15] ca śatam api tadutpattayo na samarthāḥ | tasmāt sa(1b4)nnikarṣeṇa paryeṣaṇaṃ saṃyogenaiva kṛtārtham |	ca CCD # Sata NUM Case=Nom|Number=1|Gender=Neut # api CX # tad PRD Case=Cpd # utpatti NC Case=Nom|Number=3|Gender=Fem # na CNG # samarTa JJ Case=Nom|Number=3|Gender=Fem # tasmAt CX # paryezaNa NC Case=Nom|Number=1|Gender=Neut # saMyoga NC Case=Ins|Number=1|Gender=Masc # eva CEM # kRtArTa JJ Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna020_vyc:14	[161,16] ata eva saṃyogī hetur ucyate vahner dhūmo na kāryam iti ||	atas CX # eva CEM # saMyogin JJ Case=Nom|Number=1|Gender=Masc # hetu NC Case=Nom|Number=1|Gender=Masc # vac V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # vahni NC Case=Gen|Number=1|Gender=Masc # DUma NC Case=Nom|Number=1|Gender=Masc # na CNG # kR KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger # iti CQT #
/home/basti/code/dvarapandita/data/jna020_vyc:15	[161,17] Trilocanas tv āha | pratyakṣānupalambhayor viśeṣaviṣayatvāt kathaṃ tābhyāṃ sāmānyayoṛ	tri NUM Case=Cpd # locana NC Case=Nom|Number=1|Gender=Masc # tu CCD # ah V Tense=Perf|Mood=Ind|Person=3|Number=Sing # pratyakza NC Case=Cpd # anupalamBa NC Case=Gen|Number=2|Gender=Masc # viSeza NC Case=Cpd # vizaya NC Case=Cpd # tva NC Case=Abl|Number=1|Gender=Neut # kaTam CX # tad PRD Case=Ins|Number=2|Gender=Masc # sAmAnya JJ Case=Cpd # erR NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna020_vyc:16	[161,18] sambandhapratītiḥ | athānagnivyāvṛttenādhūmavyāvṛttasya sambandhaḥ pratīyata eveti | nanu	sambanDa NC Case=Cpd # pratIti NC Case=Nom|Number=1|Gender=Fem # aTa CAD # anagni JJ Case=Cpd # vyAvRt PPP Case=Ins|Number=1|Gender=Masc|VerbForm=PPP # aDUma JJ Case=Cpd # vyAvRt PPP Case=Gen|Number=1|Gender=Masc|VerbForm=PPP # sambanDa NC Case=Nom|Number=1|Gender=Masc # pratI V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # eva CEM # iti CQT # nanu CX #
/home/basti/code/dvarapandita/data/jna020_vyc:17	[161,19] so 'pi kasya pramāṇasya viṣayaḥ | na tāva(1b5)t pratyakṣasya svalakṣaṇaviṣayatvāt	tad PRD Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna020_vyc:18	[161,20] tasya | nāpy anumānasya tasyāpi tatpūrvakatvāt | na ca vyāvṛttyoḥ kaścit sambandhaḥ | atha pratyakṣa-	tad PRD Case=Gen|Number=1|Gender=Masc # na CNG # api CX # anumAna NC Case=Gen|Number=1|Gender=Neut # tad PRD Case=Gen|Number=1|Gender=Masc # api CX # tad PRD Case=Cpd # pUrvaka JJ Case=Cpd # tva NC Case=Abl|Number=1|Gender=Neut # na CNG # ca CCD # vyAvRtti NC Case=Loc|Number=2|Gender=Fem # kaScit PRI Case=Nom|Number=1|Gender=Masc # sambanDa NC Case=Nom|Number=1|Gender=Masc # aTa CAD # pratyakza JJ Case=Voc|Number=1|Gender=Masc #
