/home/basti/code/dvarapandita/data/jna040_anu:0	[183-190] || anupalabdhirahasyam ||	anupalabDi NC Case=Nom|Number=1|Gender=Fem # ahasya NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna040_anu:1	(2b6) siddhānte viprakīrṇasyānupalambhasya yādṛśī |	sidDAnta NC Case=Loc|Number=1|Gender=Masc # viprakR PPP Case=Gen|Number=1|Gender=Masc|VerbForm=PPP # anupalamBa NC Case=Gen|Number=1|Gender=Masc # yAdRSa JJ Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna040_anu:2	rūpaniṣṭheha tādṛśyāḥ saṅgrahaḥ kriyate sphuṭaḥ ||	rUpa NC Case=Cpd # nizWA NC Case=Nom|Number=1|Gender=Fem # iha CAD # tAdRSa JJ Case=Gen|Number=1|Gender=Fem # saMkalpa NC Case=Nom|Number=1|Gender=Masc # kR V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # sPuwa JJ Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna040_anu:3	 pratiṣedhe sādhye 'nupalabdhis tṛtīyaṃ liṅgaṃ | (2b7) tac ca yady upalabdhivirahamātraṃ tat kathaṃ kasyacit pratipattiḥ pratipattihetur vā tasyāpi vā kathaṃ pratipattiḥ | tasmād abhakṣyādivat paryudāsavṛttyā 'nyopalabdhir evānupalabdhiḥ |	pratizeDa NC Case=Loc|Number=1|Gender=Masc # sADay KDG Case=Loc|Number=1|Gender=Masc|VerbForm=Ger # na CNG # upalabDi NC Case=Nom|Number=1|Gender=Fem # tRtIya JJ Case=Nom|Number=1|Gender=Neut # liFga NC Case=Nom|Number=1|Gender=Neut # tad PRD Case=Nom|Number=1|Gender=Neut # ca CCD # yadi CSB # upalabDi NC Case=Cpd # viraha NC Case=Cpd # mAtra NC Case=Nom|Number=1|Gender=Neut # tad PRD Case=Nom|Number=1|Gender=Neut # kaTam CX # kaScit PRI Case=Gen|Number=1|Gender=Masc # pratipatti NC Case=Nom|Number=1|Gender=Fem # pratipatti NC Case=Cpd # hetu NC Case=Nom|Number=1|Gender=Masc #vA CCD #
/home/basti/code/dvarapandita/data/jna040_anu:4	tatrāpi yady anyamātrasya | tadaikasya kasyacid upalabdhau sarvasya niṣedhaprasaṅgaḥ | iṣyata eva tādātmyaniṣedhaḥ sarvasyeti cet | taddeśaniṣedho 'py anivāryaḥ | tad ayaṃ viśeṣaḥ ||	tatra CAD # api CX # yadi CSB # anya PPX Case=Cpd # mAtra NC Case=Gen|Number=1|Gender=Neut # tadA CAD # eka PPX Case=Gen|Number=1|Gender=Neut # kaScit PRI Case=Gen|Number=1|Gender=Neut # upalabDi NC Case=Loc|Number=1|Gender=Fem # sarva JQ Case=Gen|Number=1|Gender=Neut # nizeDa NC Case=Cpd # prasaFga NC Case=Nom|Number=1|Gender=Masc # iz V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # eva CEM # tAdAtmya NC Case=Cpd # nizeDa NC Case=Nom|Number=1|Gender=Masc # sarva JQ Case=Gen|Number=1|Gender=Neut # iti CQT # ced CX #tad PRD Case=Cpd # deSa NC Case=Cpd # nizeDa NC Case=Nom|Number=1|Gender=Masc # api CX # anivArya JJ Case=Nom|Number=1|Gender=Masc # tad PRD Case=Acc|Number=1|Gender=Neut # idam PRD Case=Nom|Number=1|Gender=Masc # viSeza NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna040_anu:5	 vedye yatra hi yanmatir niyamataḥ (3a1) syād vā na vā |	vid KDG Case=Loc|Number=1|Gender=Neut|VerbForm=Ger # yatra CX # hi CX # yad PRL Case=Cpd # mati NC Case=Nom|Number=1|Gender=Fem # niyama NC Case=Abl|Number=1|Gender=Masc # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # vA CCD # na CNG # vA CCD #
/home/basti/code/dvarapandita/data/jna040_anu:6	tasya dhīr iṣṭā no 'nupalabdhir anyavirahajñānasthiter āśrayaḥ ||	tad PRD Case=Gen|Number=1|Gender=Masc # DI NC Case=Nom|Number=1|Gender=Fem # iz PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # mad PPR Case=Gen|Number=3|Gender= #  anupalabDi NC Case=Nom|Number=1|Gender=Fem # anya PPX Case=Cpd # viraha NC Case=Cpd # jQAna NC Case=Cpd # sTiti NC Case=Gen|Number=1|Gender=Fem # ASraya NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna040_anu:7	 yatra vedyamāne yasya matiḥ syād iti deśakālasvabhāvaviprakarṣiṇāṃ niṣedhaḥ | niyameneti | upalambhakāraṇāntaravaikalyasya | etena dṛśyaviśeṣaṇaprāptasyābhāvajñānasthitir iti darśitaṃ | ato na sarvasya niṣedhaprasaṅgaḥ |	yatra CX # vid KDP Case=Loc|Number=1|Gender=Neut|Tense=Pres|Voice=Pass|VerbForm=Part # yad PRL Case=Gen|Number=1|Gender=Masc # mati NC Case=Nom|Number=1|Gender=Fem # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # iti CQT # deSa NC Case=Cpd # kAla NC Case=Cpd # svaBAva NC Case=Cpd # viprakarzin JJ Case=Gen|Number=3|Gender=Masc # nizeDa NC Case=Nom|Number=1|Gender=Masc # niyama NC Case=Ins|Number=1|Gender=Masc # iti CQT # upalamBa NC Case=Cpd # kAraNa NC Case=Cpd # antara JJ Case=Cpd # vEkalya NC Case=Gen|Number=1|Gender=Neut # etad PRD Case=Ins|Number=1|Gender=Neut #dRS KDG Case=Cpd|VerbForm=Ger # viSezaNa NC Case=Cpd # prAp PPP Case=Gen|Number=1|Gender=Masc|VerbForm=PPP # aBAva NC Case=Cpd # jQAna NC Case=Cpd # sTiti NC Case=Nom|Number=1|Gender=Fem # iti CQT # darSay PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # atas CX # na CNG # sarva JQ Case=Gen|Number=1|Gender=Masc # nizeDa NC Case=Cpd # prasaFga NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna040_anu:8	yatra ca vedyamāne yanmatir niyamena syāt | tasyaiva dhīr iṣṭā 'nyasya dvitīyasyābhāvaniścayaprabandhākṣepāya kṣameti | etena na virahamātraṃ | (3a2) paryudāsavṛttyā tv anyaviśeṣabuddhir ity uktaṃ | atra ca tasyaivaikākina iti sāmarthyāt | anyathetarasyāniṣiddhopalabdher abhāvāsiddheḥ |	yatra CX # ca CCD # vid KDP Case=Loc|Number=1|Gender=Neut|Tense=Pres|Voice=Pass|VerbForm=Part # yat CSB # mati NC Case=Nom|Number=1|Gender=Fem # niyama NC Case=Ins|Number=1|Gender=Masc # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # tad PRD Case=Gen|Number=1|Gender=Masc # eva CEM # DI NC Case=Nom|Number=1|Gender=Fem # iz PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # nyas CGDA VerbForm=Abs # dvitIya JJ Case=Gen|Number=1|Gender=Masc # aBAva NC Case=Cpd # niScaya NC Case=Cpd # prabanDa NC Case=Dat|Number=1|Gender=Masc # kzama JJ Case=Nom|Number=1|Gender=Fem # iti CQT # etad PRD Case=viraha NC Case=Cpd # mAtra NC Case=Nom|Number=1|Gender=Neut # paryudAsa NC Case=Cpd # vRtti NC Case=Ins|Number=1|Gender=Fem # tu CCD # anya PPX Case=Cpd # viSeza NC Case=Cpd # budDi NC Case=Nom|Number=1|Gender=Fem # iti CQT # vac PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # atra CAD # ca CCD # tad PRD Case=Gen|Number=1|Gender=Neut # eva CEM # ekAkin JJ Case=Gen|Number=1|Gender=Neut # iti CQT # sAmarTya NC Case=Abl|Number=1|Gender=Neut # anyaTA CX # itara PPX Case=Gen|Number=1|Gender=Neut # a CNG # niziD PPP Case=Cpd|VerbForm=PPP # upalabDi NC Case=Abl|Number=1|Gender=Fem #aBAva NC Case=Cpd # asidDi NC Case=Abl|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna040_anu:9	tad yathā neha ghaṭa upalabhyasyānupalabdheḥ | yathā kvacit kiñcid iti | tatra dṛśyasyeti svabhāvaviśeṣa upalambhapratyayāntarasākalyaṃ coktaṃ draṣṭavyaṃ | anupalabdher iti pratiyogina upalabdher ity arthaḥ |	tad PRD Case=Nom|Number=1|Gender=Neut # yaTA CCM # na CNG # iha CAD # Gawa NC Case=Nom|Number=1|Gender=Masc # upalaB KDG Case=Gen|Number=1|Gender=Neut|VerbForm=Ger # anupalabDi NC Case=Abl|Number=1|Gender=Fem # yaTA CCM # kvacid CX # kaScit PRI Case=Nom|Number=1|Gender=Neut # iti CQT # tatra CAD # dRS KDG Case=Gen|Number=1|Gender=Neut|VerbForm=Ger # iti CQT # svaBAva NC Case=Cpd # viSeza NC Case=Nom|Number=1|Gender=Masc # upalamBa NC Case=Cpd # pratyaya NC Case=Cpd # anta NC Case=Cpd # rasa NC Case=Cpd # akalya NC Case=Nom|Number=1|Gender=Neut #ca CCD # vac PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # dRS KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger # anupalabDi NC Case=Abl|Number=1|Gender=Fem # iti CQT # pratiyogin JJ Case=Gen|Number=1|Gender=Masc # upalabDi NC Case=Abl|Number=1|Gender=Fem # iti CQT # arTa NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna040_anu:10	tac ca pratiyogīhety ādhāratāprāptaṃ bhūtalam anyad vaikendriyajñānasaṃsargi | (3a3) tadanyo vā | yasmin vedyamāne niṣedhyam upalabhyam eveti sāmānyokteḥ | tatra yadi bhūbhāga upalabhya eva kumbhasambhavaḥ sādhyaḥ | tadā sa eva pratiyogī kim anyāpekṣayā | yadā tu nabhasi tadā 'pi tad evālokasañjñitaṃ | anyo vā ghaṭādir aniyatasthitiḥ spṛśyaniṣedhe tv ayam eva |	tad PRD Case=Nom|Number=1|Gender=Neut # ca CCD # pratiyogin JJ Case=Cpd # hA PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # iti CQT # ADAra NC Case=Cpd # tA NC Case=Cpd # prAp PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # BU NC Case=Cpd # tala NC Case=Nom|Number=1|Gender=Neut # anya PPX Case=Nom|Number=1|Gender=Neut # vA CCD # eka PPX Case=Cpd # indriya NC Case=Cpd # jQAna NC Case=Cpd # saMsargin JJ Case=Nom|Number=1|Gender=Neut # tad PRD Case=Cpd # anya PPX Case=Nom|Number=1|Gender=Masc # vA CCD # yad PRL Case=Loc|Number=1|Gender=Masc # vid KDP Case=Loc|Number=1|Gender=Masc|Tense=Pres|eva CEM # iti CQT # sAmAnya NC Case=Cpd # ukti NC Case=Gen|Number=1|Gender=Fem # tatra CAD # yadi CSB # BU NC Case=Cpd # BAga NC Case=Nom|Number=1|Gender=Masc # upalaB KDG Case=Nom|Number=1|Gender=Masc|VerbForm=Ger # eva CEM # kumBa NC Case=Cpd # samBava NC Case=Nom|Number=1|Gender=Masc # sADay KDG Case=Nom|Number=1|Gender=Masc|VerbForm=Ger # tadA CAD # tad PRD Case=Nom|Number=1|Gender=Masc # eva CEM # pratiyogin JJ Case=Nom|Number=1|Gender=Masc # ka PRQ Case=Acc|Number=1|Gender=Neut # anya PPX Case=Cpd # apekzA NC Case=Ins|Number=1|Gender=Fem # yadA CSB # tu CCD # naBas NC Case=Loc|Number=1|Gender=Neut #tadA CAD # api CX # tad PRD Case=Nom|Number=1|Gender=Neut # eva CEM # Aloka NC Case=Cpd # saMjQA PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # anya PPX Case=Nom|Number=1|Gender=Masc # vA CCD # Gawa NC Case=Cpd # Adi NC Case=Nom|Number=1|Gender=Masc # aniyata JJ Case=Cpd # sTiti NC Case=Nom|Number=1|Gender=Masc # spRS KDG Case=Cpd|VerbForm=Ger # nizeDa NC Case=Loc|Number=1|Gender=Masc # tu CCD # idam PRD Case=Nom|Number=1|Gender=Masc # eva CEM #
