/home/basti/code/dvarapandita/data/jna030_bab:0	[179,2-182,8] || bhedābhedaparīkṣā ||	Beda NC Case=Cpd # aBeda NC Case=Cpd # parIkzA NC Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna030_bab:1	 [179,3] (1b) || namo buddhāya ||	namas NC Case=Nom|Number=1|Gender=Neut # budDa NC Case=Dat|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:2	[179,4] pratyekapakṣopanipātiparijihīrṣayā kaiścid āśriyamāṇo bhedābhedapakṣaḥ parīkṣyate |	pratyeka JJ Case=Cpd # pakza NC Case=Cpd # upanipAtin JJ Case=Cpd # parijihIrzA NC Case=Ins|Number=1|Gender=Fem # kaScit PRI Case=Ins|Number=3|Gender=Masc # ASri KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|Voice=Pass|VerbForm=Part # Beda NC Case=Cpd # aBeda NC Case=Cpd # pakza NC Case=Nom|Number=1|Gender=Masc # parIkz V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna030_bab:3	[179,5] tatra kim ayam ubhayasamuccayasvabhāvaḥ,tadabhāvarupo vā? abhāvo 'pi prasajya-	tatra CAD # ka PRQ Case=Nom|Number=1|Gender=Neut # idam PRD Case=Nom|Number=1|Gender=Masc # uBaya JJ Case=Cpd # samuccaya NC Case=Cpd # svaBAva NC Case=Cpd # uttaada NC Case=Cpd # BAva NC Case=Cpd # rup NC Case=Gen|Number=1|Gender=Masc # vA CCD # aBAva NC Case=Nom|Number=1|Gender=Masc # api CX # prasaQj CGDA VerbForm=Abs #
/home/basti/code/dvarapandita/data/jna030_bab:4	[179,6] mātram, paryudāsavṛttyā vā bhāvāntaram? tad api prakṛtapratyanīkaṃ tṛtīyaṃ rūpam, uta-	mAtra NC Case=Nom|Number=1|Gender=Neut # paryudAsa NC Case=Cpd # vRtti NC Case=Ins|Number=1|Gender=Fem # vA CCD # BAva NC Case=Cpd # antara JJ Case=Nom|Number=1|Gender=Neut # tad PRD Case=Nom|Number=1|Gender=Neut # api CX # prakRta NC Case=Cpd # pratyanIka NC Case=Nom|Number=1|Gender=Neut # tRtIya JJ Case=Nom|Number=1|Gender=Neut # rUpa NC Case=Nom|Number=1|Gender=Neut # uta CCD #
/home/basti/code/dvarapandita/data/jna030_bab:5	[179,7] aprakṛtam eva kiñcit?	aprakRta JJ Case=Nom|Number=1|Gender=Neut # eva CEM # kaScit PRI Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:6	[179,8] tatra prathamapakṣe yāv eva bhedābhedau pṛthagdoṣajālakavalitau tāv evāmū ekavastu-	tatra CAD # praTama JJ Case=Cpd # pakza NC Case=Loc|Number=1|Gender=Masc # yad PRL Case=Nom|Number=2|Gender=Masc # eva CEM # Beda NC Case=Cpd # aBeda NC Case=Nom|Number=2|Gender=Masc # pRTak CX # doza NC Case=Cpd # jAla NC Case=Cpd # kavalita JJ Case=Nom|Number=2|Gender=Masc # tad PRD Case=Nom|Number=2|Gender=Masc # eva CEM # adas PRD Case=Nom|Number=2|Gender=Masc # eka PPX Case=Cpd # vastu NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:7	[179,9] vartināv iṣyete, tadānyāv eva vā? tattve taddūṣaṇasyāvaśyam anuvṛtter viphalo 'bhyupagamaḥ |	vartin JJ Case=Nom|Number=2|Gender=Masc # riz V Tense=Pres|Mood=Ind|Person=3|Number=Dual # tad PRD Case=Cpd # anya PPX Case=Nom|Number=2|Gender=Masc # eva CEM # vA CCD # tattva NC Case=Loc|Number=1|Gender=Neut # tad PRD Case=Cpd # dUzaNa NC Case=Gen|Number=1|Gender=Neut # avaSyam CX # anuvRtti NC Case=Abl|Number=1|Gender=Fem # viPala JJ Case=Nom|Number=1|Gender=Masc # Byupagama NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:8	[179,10] anyatve 'pi taddūṣaṇavad guṇasyāpy ananuvṛtteḥ | api nāma bhedapakṣabhāvi pṛthakpratītiprasaṅga-	anyatva NC Case=Loc|Number=1|Gender=Neut # api CX # tad PRD Case=Cpd # dUzaNa NC Case=Cpd # vat CX # guNa NC Case=Gen|Number=1|Gender=Masc # api CX # ananuvRtti NC Case=Gen|Number=1|Gender=Fem # api CX # nAma CX # Beda NC Case=Cpd # pakza NC Case=Cpd # BAvin JJ Case=Nom|Number=1|Gender=Neut # pRTak CX # pratIti NC Case=Cpd # prasaFga NC Case=Voc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:9	[179,11] dūṣaṇam abhedam upagacchan parihariṣyāmīti bhede 'py abhedasvīkāras tatra bhavataḥ | yadi ca sa	dUzaNa NC Case=Acc|Number=1|Gender=Masc # aBeda NC Case=Acc|Number=1|Gender=Masc # upagam KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # parihR V Tense=Fut|Mood=Ind|Person=1|Number=Sing # iti CQT # Beda NC Case=Loc|Number=1|Gender=Masc # api CX # aBeda NC Case=Cpd # svIkR NC Case=Nom|Number=1|Gender=Masc # tatra CAD # Bavat JJ Case=Gen|Number=1|Gender=Masc # yadi CSB # ca CCD # tad PRD Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:10	[179,12] evābhedaḥ pṛtagupalabdhibādhano 'dhunāpy upanītaḥ, syād evaṃ tatparihāraḥ, kevalam ekayogakṣema-	eva CEM # aBeda NC Case=Nom|Number=1|Gender=Masc # pRtagupalabDi NC Case=Cpd # bADana NC Case=Nom|Number=1|Gender=Masc # DunA NC Case=Nom|Number=1|Gender=Fem # api CX # upanI PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # evam CX # tad PRD Case=Cpd # parihAra NC Case=Nom|Number=1|Gender=Masc # kevalam CX # eka PPX Case=Cpd # yogakzema NC Case=Nom|Number=1|Gender=Neut #
