/home/basti/code/dvarapandita/data/jna014_ks4:0	 [107,1] [kṣaṇabhaṅga-adhyāye]	kzaNa NC Case=Cpd # BaFga NC Case=Cpd # DyAya NC Case=Loc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:1	[107,2][caturarthaḥ pādaḥ ahetuka-vināśa-adhikāraṛ	pAda NC Case=Nom|Number=1|Gender=Masc # ahetuka JJ Case=Cpd # vinASa NC Case=Cpd # aDikAra NC Case=Cpd # kArin JJ Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna014_ks4:2	 anvīti-vyatirekam ākalayatā 'dhyakṣeṇa dhūmāgnivad	anvIti NC Case=Cpd # vyatireka NC Case=Acc|Number=1|Gender=Masc # Akalay KDP Case=Ins|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # Dyakza NC Case=Ins|Number=1|Gender=Masc # DUma NC Case=Cpd # agni NC Case=Cpd # vat CX #
/home/basti/code/dvarapandita/data/jna014_ks4:3	dṛśyādṛṣṭiprabhūtahetuphalatā siddhā vināśāṅgayoḥ |	dRS KDG Case=Cpd|VerbForm=Ger # adRzwi NC Case=Cpd # praBUta JJ Case=Cpd # hetu NC Case=Cpd # Pala NC Case=Cpd # tA NC Case=Nom|Number=1|Gender=Fem # siD PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # vinASa NC Case=Cpd # aFga NC Case=Gen|Number=2|Gender=Neut #
/home/basti/code/dvarapandita/data/jna014_ks4:4	tat-prāk kāraṇasannidheḥ phalam asan nāśas tanoti sthitaṃ	tad PRD Case=Cpd # prAk CX # kAraNa NC Case=Cpd # saMniDi NC Case=Gen|Number=1|Gender=Masc # Pala NC Case=Acc|Number=1|Gender=Neut # asat JJ Case=Acc|Number=1|Gender=Neut # na CNG # ASaMs V Tense=Pres|Mood=Ind|Person=3|Number=Sing # sTA PPP Case=Acc|Number=1|Gender=Neut|VerbForm=PPP #
/home/basti/code/dvarapandita/data/jna014_ks4:5	tāvan taṃ kila kālam ity api mṛṣā nāśaḥ svarūpādṛśaḥ ||	tAvat CX # tad PRD Case=Acc|Number=1|Gender=Masc # kila CX # kAla NC Case=Acc|Number=1|Gender=Masc # iti CQT # api CX # mRzA CX # nASa NC Case=Nom|Number=1|Gender=Masc # svarUpa NC Case=Cpd # adRSya JJ Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:6	 na hīdan tayā nāśasya svarūpam upalabdhi-gocaraṃ yenānvaya-vyatireka-niścayāt kāraṇābhimata-mudgarādi sannidheḥ prāk nāśākhyaṃ kāryam abhavat tāvan taṃ kālaṃ bhāvasya sthairyam āpādayet yāvatā nāśyasya svabhāvānupalabdher mṛṣaiva kalpaneyam iti kutaḥ kāraṇānupalabdhyā sthairyasiddhiḥ?	na CNG # hi CX # idam PRD Case=Nom|Number=1|Gender=Neut # tad PRD Case=Ins|Number=1|Gender=Fem # nASa NC Case=Gen|Number=1|Gender=Masc # svarUpa NC Case=Nom|Number=1|Gender=Neut # upalabDi NC Case=Cpd # gocara JJ Case=Nom|Number=1|Gender=Neut # yad PRL Case=Ins|Number=1|Gender=Neut # anvaya NC Case=Cpd # vyatireka NC Case=Cpd # niScaya NC Case=Abl|Number=1|Gender=Masc # kAraNa NC Case=Cpd # aBiman PPP Case=Cpd|VerbForm=PPP # mudgara NC Case=Cpd # Adi NC Case=Nom|Number=1|Gender=Neut # saMniDi NC Case=Abl|Number=1|Gender=Masc # prAk CX # na CNG # aSAKya NC Case=Nom|Number=1|Gender=Neut # kR KDG Case=NomBU V Tense=Impf|Mood=Ind|Person=3|Number=Sing # tAvat CX # tad PRD Case=Acc|Number=1|Gender=Masc # kAla NC Case=Acc|Number=1|Gender=Masc # BAva NC Case=Gen|Number=1|Gender=Masc # sTErya NC Case=Acc|Number=1|Gender=Neut # ApAday V Tense=Pres|Mood=Opt|Person=3|Number=Sing # yAvat JJ Case=Ins|Number=1|Gender=Neut # na CNG # aS KDG Case=Gen|Number=1|Gender=Neut|VerbForm=Ger # svaBAva NC Case=Cpd # anupalabDi NC Case=Abl|Number=1|Gender=Fem # mRzA CX # eva CEM # kalpanA NC Case=Nom|Number=1|Gender=Fem # idam PRD Case=Nom|Number=1|Gender=Fem # iti CQT # kutas CX # kAraNa NC Case=Cpd # anupalabDi NCsTErya NC Case=Cpd # sidDi NC Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna014_ks4:7	 [107,11] nanu ghaṭa-mudgarādayo dṛśyante tāvat teṣv eva kaścin nāśo nāmeti nāśa-svarūpānupalabdhir asiddheti cet?	nanu CX # Gawa NC Case=Cpd # mudgara NC Case=Cpd # Adi NC Case=Nom|Number=3|Gender=Masc # dRS V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Plur # tAvat CX # tad PRD Case=Loc|Number=3|Gender=Masc # eva CEM # kaScit PRI Case=Nom|Number=1|Gender=Masc # nASa NC Case=Nom|Number=1|Gender=Masc # nAma CX # iti CQT # nASa NC Case=Cpd # svarUpa NC Case=Cpd # anupalabDi NC Case=Nom|Number=1|Gender=Fem # asidDa JJ Case=Nom|Number=1|Gender=Fem # iti CQT # ced CX #
/home/basti/code/dvarapandita/data/jna014_ks4:8	dṛṣṭas yāvad ayaṃ ghaṭo 'tra ca patan dṛṣṭas tathā mudgaro dṛṣṭā karpara-saṃhatiḥ paramato 'bhāvo na dṛṣṭo 'paraḥ | tenābhāva iti (43b) śrutiḥ kva nihitā kiṃ vātra tat-kāraṇaṃ svādhīnā palighasya [: prari°] kevalam iyaṃ dṛṣṭā kapālāvaliḥ || dṛṣṭas tāvad ayaṃ ghaṭo 'tra ca patan dṛṣṭas tathā mudgaraḥ dṛṣṭā kharpara-saṃhatiḥ paramato 'bhāvo na dṛṣṭo 'paraḥ | tenābhāva iti (43b) śrutiḥ kva nihitā kiñcātra tat-kāraṇaṃ svādhīnā kalaśasya kevalam iyaṃ dṛṣṭā kapālāvalī || [= 118,24-27 ] palighasya,	dRS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # yAvat CX # idam PRD Case=Nom|Number=1|Gender=Masc # Gawa NC Case=Nom|Number=1|Gender=Masc # atra CAD # ca CCD # pat KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # dRS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # taTA CX # mudgara NC Case=Nom|Number=1|Gender=Masc # dRS PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # karpara NC Case=Cpd # saMhati NC Case=Nom|Number=1|Gender=Fem # paramatas CX # BAva NC Case=Nom|Number=1|Gender=Masc # na CNG # dRS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # para PPX Case=Nom|Number=1|GendSruti NC Case=Nom|Number=1|Gender=Fem # kva CX # niDA PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # ka PRQ Case=Nom|Number=1|Gender=Neut # vA CCD # atra CAD # tad PRD Case=Cpd # kAraNa NC Case=Nom|Number=1|Gender=Neut # svADIna JJ Case=Nom|Number=1|Gender=Fem # paliGa NC Case=Gen|Number=1|Gender=Masc # prarin JJ Case=Nom|Number=1|Gender=Neut # kevala JJ Case=Nom|Number=1|Gender=Neut # idam PRD Case=Nom|Number=1|Gender=Fem # dRS PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # kapAla NC Case=Cpd # Avali NC Case=Nom|Number=1|Gender=Fem # dRS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=Pca CCD # pat KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # dRS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # taTA CX # mudgara NC Case=Nom|Number=1|Gender=Masc # dRS PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # Karpara NC Case=Cpd # saMhati NC Case=Nom|Number=1|Gender=Fem # paramatas CX # BAva NC Case=Nom|Number=1|Gender=Masc # na CNG # dRS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # para PPX Case=Nom|Number=1|Gender=Masc # tena CX # aBAva NC Case=Nom|Number=1|Gender=Masc # iti CQT # Sruti NC Case=Nom|Number=1|Gender=Fem # kva CX # niDA PPP Case=Nom|Number=1|Gender=tad PRD Case=Cpd # kAraNa NC Case=Nom|Number=1|Gender=Neut # svADIna JJ Case=Nom|Number=1|Gender=Fem # kalaSa NC Case=Gen|Number=1|Gender=Masc # kevala JJ Case=Acc|Number=1|Gender=Neut # idam PRD Case=Nom|Number=1|Gender=Fem # dRS PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # kapAla NC Case=Cpd # Avali NC Case=Nom|Number=1|Gender=Fem # paliGa NC Case=Gen|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:9	sunipuṇaṃ nirūpayanto 'pi māṃsacakṣuṣā vayaṃ tāvan nāparam atra vastujātam īkṣāmahe, yad abhāva-śrutyā viṣayīkriyate | taddarśanābhāvāc ca tat-kāraṇam api kim avadhārayāmo, yad abhāvena pūrva-pūrvam asan nāśa iti syāt? yaś ca tat-kāraṇaṃ kalpito daṇḍas tasyāpy anvayavyatirekānuvidhāyinī kapāla-paṅktir eva dṛṣṭā, nānyā kācit | vaidharmya-dṛṣṭāntatayeyam upanyastā punaḥ, yatheyam adhyakṣānupalambhābhyām anvayavyatirekāv anubidadhatī dṛśyatayā	su CAD # nipuNa JJ Case=Acc|Number=1|Gender=Neut # nirUpay KDP Case=Nom|Number=3|Gender=Masc|Tense=Pres|VerbForm=Part # api CX # mAMsa NC Case=Cpd # cakzus NC Case=Ins|Number=1|Gender=Neut # mad PPR Case=Nom|Number=3|Gender= # tAvat CX # na CNG # apara PPX Case=Acc|Number=1|Gender=Neut # atra CAD # vastu NC Case=Cpd # jan PPP Case=Acc|Number=1|Gender=Neut|VerbForm=PPP # Ikz V Tense=Pres|Mood=Ind|Person=1|Number=Plur # yad PRL Case=Acc|Number=1|Gender=Neut # aBAva NC Case=Cpd # Sruti NC Case=Ins|Number=1|Gender=Fem # vizayin JJ Case=Nom|Number=1|Gender=Masc # kR V Tense=Pres|Mood=Ind|Voice=Pca CCD # tad PRD Case=Cpd # kAraNa NC Case=Acc|Number=1|Gender=Neut # api CX # ka PRQ Case=Acc|Number=1|Gender=Neut # avaDAray V Tense=Pres|Mood=Ind|Person=1|Number=Plur # yad PRL Case=Nom|Number=1|Gender=Neut # aBAva NC Case=Ins|Number=1|Gender=Masc # pUrva PPX Case=Cpd # pUrva PPX Case=Nom|Number=1|Gender=Neut # asat JJ Case=Nom|Number=1|Gender=Neut # nASa NC Case=Nom|Number=1|Gender=Masc # iti CQT # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # yad PRL Case=Nom|Number=1|Gender=Masc # ca CCD # tad PRD Case=Cpd # kAraNa NC Case=Acc|Number=1|Gender=Neut # kalpay PPP Case=Nom|Number=1|Gender=MasckapAlapaFkti NC Case=Nom|Number=1|Gender=Fem # eva CEM # dRS PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # na CNG # anya PPX Case=Nom|Number=1|Gender=Fem # kaScit PRI Case=Nom|Number=1|Gender=Fem # vEDarmya NC Case=Cpd # dRzwAnta NC Case=Cpd # tad PRD Case=Ins|Number=1|Gender=Fem # idam PRD Case=Nom|Number=1|Gender=Fem # upanyas PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # punar CAD # yaTA CCM # idam PRD Case=Nom|Number=1|Gender=Fem # aDyakza NC Case=Cpd # anupalamBa NC Case=Ins|Number=2|Gender=Masc # anvaya NC Case=Cpd # vyatireka NC Case=Nom|Number=2|Gender=Masc #anubanD KDP Case=Nom|Number=1|Gender=Fem|Tense=Pres|VerbForm=Part # dRS KDG Case=Cpd|VerbForm=Ger # tA NC Case=Ins|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna014_ks4:10	 [108] daṇḍasya kāryam avasthāpyate, tathā yadi nāśākhyam api vastu dṛśyaṃ syād anātma-rūpa-vivekena tasyāpi tarasvi-daṇḍa-kāryatā avāryaiva, na caivam | tasmāt kalpanaiveyam |	daNXa NC Case=Gen|Number=1|Gender=Masc # kR KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger # avasTApay V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # taTA CX # yadi CSB # na CNG # aSAKya JJ Case=Nom|Number=1|Gender=Neut # api CX # vastu NC Case=Nom|Number=1|Gender=Neut # dRS KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # anAtman NC Case=Cpd # rUpa NC Case=Cpd # viveka NC Case=Ins|Number=1|Gender=Masc # tad PRD Case=Gen|Number=1|Gender=Masc # api CX # tarasvin JJ Case=Cpd # daNXa NC Case=Cpd # kArya NC Case=Cpd # tA NC Case=na CNG # ca CCD # evam CX # tasmAt CX # kalpanA NC Case=Nom|Number=1|Gender=Fem # eva CEM # idam PRD Case=Nom|Number=1|Gender=Fem #
