/home/basti/code/dvarapandita/data/jna114_sa4:0	[437] [caturthaḥ paricchedaḥ]	caturTa JJ Case=Nom|Number=1|Gender=Masc # paricCeda NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna114_sa4:1	 atha vā keyam alīkatāpy anubhavasvabhāvasya, bādhakād iti cet | kasya kena bādhā |	aTa CAD # vA CCD # ka PRQ Case=Nom|Number=1|Gender=Fem # idam PRD Case=Nom|Number=1|Gender=Fem # alIka JJ Case=Cpd # tA NC Case=Nom|Number=1|Gender=Fem # api CX # anuBava NC Case=Cpd # svaBAva NC Case=Gen|Number=1|Gender=Masc # bADaka JJ Case=Abl|Number=1|Gender=Masc # iti CQT # ced CX # ka PRQ Case=Gen|Number=1|Gender=Masc # ka PRQ Case=Ins|Number=1|Gender=Masc # bADA NC Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna114_sa4:2	citrākārarāśer vyāpakānupalambhena | tad etad vikrītagavīrakṣaṇam,	citra JJ Case=Cpd # AkAra NC Case=Cpd # rASi NC Case=Gen|Number=1|Gender=Masc # vyApaka JJ Case=Cpd # anupalamBa NC Case=Ins|Number=1|Gender=Masc # tad PRD Case=Nom|Number=1|Gender=Neut # etad PRD Case=Nom|Number=1|Gender=Neut # vikrI PPP Case=Cpd|VerbForm=PPP # gavI NC Case=Cpd # rakzaNa NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna114_sa4:3	% NB for this expression see Vādanyāya; also Aatmatattvaviveka !!	na CNG # ap NC Case=Nom|Number=1|Gender=Masc # dos NC Case=Nom|Number=1|Gender=Neut # Ti NC Case=Nom|Number=1|Gender=Fem # e CX # e CX # t NC Case=Cpd # pre NC Case=Gen|Number=1|Gender=Masc # si NC Case=Gen|Number=1|Gender=Masc # se NC Case=Gen|Number=1|Gender=Masc # vAda NC Case=Cpd # nyAya NC Case=Nom|Number=1|Gender=Masc # a CNG # l NC Case=Gen|Number=1|Gender=Masc # a CNG # Atman NC Case=Cpd # tattva NC Case=Cpd # viveka NC Case=Voc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna114_sa4:4	 bādhyabādhakabhāvasya sāṃvṛtasyopapādanāt |	bAD KDG Case=Cpd|VerbForm=Ger # bADaka JJ Case=Cpd # BAva NC Case=Gen|Number=1|Gender=Masc # sAMKya NC Case=Gen|Number=1|Gender=Neut # upapAdana NC Case=Abl|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna114_sa4:5	bhāṣye tadvyāpyasatkhyāter virodhasya prasādhanāt ||	BAzya NC Case=Loc|Number=1|Gender=Neut # tad PRD Case=Cpd # vyAp KDG Case=Cpd|VerbForm=Ger # sat JJ Case=Cpd # KyAti NC Case=Gen|Number=1|Gender=Fem # viroDa NC Case=Gen|Number=1|Gender=Masc # prasADana NC Case=Abl|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna114_sa4:6	 api ca, na tāvaj jñānam ātmānam eva bādhate, svarūpasaṃvedanasyaiva balavattvāt | pareṇāpi tadviṣayeṇa bhinnaviṣayeṇa vā bādhā syāt, samakālenāsamakālena vā | tatra tadviṣayaṃ tac ca bādhata iti asambaddham | bhinnaviṣayeṇāpi tasya kīdṛśī bādhā | svaviṣayopasthāpanamātrāc cet | tenaivāsya kiṃ na bādhā | na ca samasamayena | ekakālam anekasya sajātīyasya vijātīyasya vā pratibhāse kasya kena bādhā | kālabhede tu sutarām anavakāśo mahāsammataśrīharśayor api prasaṅgāt |	api CX # ca CCD # na CNG # tAvat CX # jQAna NC Case=Nom|Number=1|Gender=Neut # Atman NC Case=Acc|Number=1|Gender=Masc # eva CEM # bAD V Tense=Pres|Mood=Ind|Person=3|Number=Sing # svarUpa NC Case=Cpd # saMvedana NC Case=Gen|Number=1|Gender=Neut # eva CEM # balavat JJ Case=Cpd # tva NC Case=Abl|Number=1|Gender=Neut # para PPX Case=Ins|Number=1|Gender=Masc # api CX # tad PRD Case=Cpd # vizaya NC Case=Ins|Number=1|Gender=Masc # Bid PPP Case=Cpd|VerbForm=PPP # vizaya NC Case=Ins|Number=1|Gender=Masc # vA CCD # bADA NC Case=Nom|Number=1|Gender=Fem # as V Tense=Pres|Mood=Opt|Person=3|Number=Singsama PPX Case=Cpd # kAla NC Case=Ins|Number=1|Gender=Masc # asama JJ Case=Cpd # kAla NC Case=Ins|Number=1|Gender=Masc # vA CCD # tatra CAD # tad PRD Case=Cpd # vizaya NC Case=Nom|Number=1|Gender=Neut # tad PRD Case=Nom|Number=1|Gender=Neut # ca CCD # bAD V Tense=Pres|Mood=Ind|Person=3|Number=Sing # iti CQT # a CNG # sambanD PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # Bid PPP Case=Cpd|VerbForm=PPP # vizaya NC Case=Ins|Number=1|Gender=Masc # api CX # tad PRD Case=Gen|Number=1|Gender=Masc # kIdRSa JJ Case=Nom|Number=1|Gender=Fem # bADA NC Case=Nom|Number=1|Gender=Fem # sva JJ Case=Cpd # vizayaced CX # tad PRD Case=Ins|Number=1|Gender=Masc # eva CEM # idam PRD Case=Gen|Number=1|Gender=Masc # ka PRQ Case=Nom|Number=1|Gender=Neut # na CNG # bADA NC Case=Nom|Number=1|Gender=Fem # na CNG # ca CCD # sama PPX Case=Cpd # samaya NC Case=Ins|Number=1|Gender=Masc # eka PPX Case=Cpd # kAla NC Case=Acc|Number=1|Gender=Masc # aneka JJ Case=Gen|Number=1|Gender=Masc # sajAtIya JJ Case=Gen|Number=1|Gender=Masc # vijAtIya JJ Case=Gen|Number=1|Gender=Masc # vA CCD # pratiBAs V Tense=Pres|Mood=Ind|Person=1|Number=Sing # ka PRQ Case=Gen|Number=1|Gender=Masc # ka PRQ Case=Ins|Number=1|Gender=Masc # bADAtu CCD # sutarAm CX # anavakASa JJ Case=Nom|Number=1|Gender=Masc # mahAsammata NC Case=Cpd # SrI NC Case=Cpd # hara NC Case=Gen|Number=2|Gender=Masc # api CX # prasaFga NC Case=Abl|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna114_sa4:7	athaikasya jñānasya jñānāntareṇa nirviṣayatvapratipādanaṃ bādhārthaḥ, sa ca bhinnakālayor na virudhyate | so 'rthas tatra jñāne yadi pratibhāsate, tadā sann eveti kuto bādhā | apratibhāse tu svayam evāsan kiṃ niṣedhāntareṇa | na vā tadviṣayaṃ bādhanam uktaṃ bhavati | āropitasya niṣedha iti cet | āropo 'pi vyavahāramātrasiddha iti pratipādanāt, tadāśrayā bādhāpi na sāṃvṛtam atikrāmati | atha yathaiva (95b) pratīyasamutpādabhedasamāśrayeṇa jñānāntaraprasavamātralakṣaṇo bhramaḥ, tathaivaivam etan nānyathety api jñānākārodaya eva bādhā bhaviṣyati ||	aTa CAD # eka PPX Case=Gen|Number=1|Gender=Neut # jQAna NC Case=Gen|Number=1|Gender=Neut # jQAna NC Case=Cpd # antara JJ Case=Ins|Number=1|Gender=Neut # nirvizaya JJ Case=Cpd # tva NC Case=Cpd # pratipAdana NC Case=Nom|Number=1|Gender=Neut # bADA NC Case=Cpd # arTa NC Case=Nom|Number=1|Gender=Masc # tad PRD Case=Nom|Number=1|Gender=Masc # ca CCD # Bid PPP Case=Cpd|VerbForm=PPP # kAla NC Case=Gen|Number=2|Gender=Masc # na CNG # viruD V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # tad PRD Case=Nom|Number=1|Gender=Masc # arTa NC Case=Nom|Number=1|Gender=Masc # tatra CAD # jQAna NC Case=Loc|NumpratiBAs V Tense=Pres|Mood=Ind|Person=3|Number=Plur # tadA CAD # as KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # eva CEM # iti CQT # kutas CX # bADA NC Case=Nom|Number=1|Gender=Fem # apratiBAsa JJ Case=Loc|Number=1|Gender=Neut # tu CCD # svayam CX # eva CEM # as V Tense=Impf|Mood=Ind|Person=3|Number=Plur # ka PRQ Case=Nom|Number=1|Gender=Neut # nizeDa NC Case=Cpd # antara JJ Case=Ins|Number=1|Gender=Neut # na CNG # vA CCD # tad PRD Case=Cpd # vizaya NC Case=Nom|Number=1|Gender=Neut # bADana NC Case=Nom|Number=1|Gender=Neut # vac PPP Case=Nom|Number=1|Gender=Neut|Aropay PPP Case=Gen|Number=1|Gender=Masc|VerbForm=PPP # nizeDa NC Case=Nom|Number=1|Gender=Masc # iti CQT # ced CX # Aropa NC Case=Nom|Number=1|Gender=Masc # api CX # vyavahAra NC Case=Cpd # mAtra NC Case=Cpd # siD PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # iti CQT # pratipAdana NC Case=Abl|Number=1|Gender=Neut # tad PRD Case=Cpd # ASraya NC Case=Nom|Number=1|Gender=Fem # bADA NC Case=Nom|Number=1|Gender=Fem # api CX # na CNG # tad PRD Case=Nom|Number=1|Gender=Fem # AvR PPP Case=Acc|Number=1|Gender=Masc|VerbForm=PPP # atikram V Tense=Pres|Mood=Ind|Person=3|Number=Sing # aTapratIyasamutpAda NC Case=Cpd # Beda NC Case=Cpd # samASraya NC Case=Ins|Number=1|Gender=Masc # jQAna NC Case=Cpd # antara JJ Case=Cpd # prasava NC Case=Cpd # mAtra NC Case=Cpd # lakzaNa NC Case=Nom|Number=1|Gender=Masc # Brama NC Case=Nom|Number=1|Gender=Masc # taTA CX # eva CEM # evam CX # etad PRD Case=Nom|Number=1|Gender=Neut # na CNG # anyaTA CX # iti CQT # api CX # jQAna NC Case=Cpd # AkAra NC Case=Cpd # udaya NC Case=Nom|Number=1|Gender=Masc # eva CEM # bADA NC Case=Nom|Number=1|Gender=Fem #BU V Tense=Fut|Mood=Ind|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna114_sa4:8	yady evaṃ tattvato na bādheti siddham etat | kenacid ākāraparigraheṇa jñānam idaṃ jātaṃ nāma, na tu kiñcid anena bādhitaṃ sādhitaṃ vā, nīlajñānānantaraṃ madhurajñānavat | anyatra bādhādhyavasāyena viśeṣa iti cet | adhyavasāyamātrasiddha ity eva sāṃvṛta ucyate | tasmān nālambanaśūnyatāpratipādanaṃ bādhārthaḥ | kiṃ ca, sālambanetarabhedena dvaite gatir iyaṃ syād api | advaite tu svarūpamātraparyavasitavedanasthitīnāṃ matīnām anyonyaṃ bādha iti mahat sāhasam | uktaṃ ca,	yadi CSB # evam CX # tattva NC Case=Abl|Number=1|Gender=Neut # na CNG # bADA NC Case=Nom|Number=1|Gender=Fem # iti CQT # siD PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # etad PRD Case=Nom|Number=1|Gender=Neut # kaScit PRI Case=Ins|Number=1|Gender=Masc # AkAra NC Case=Cpd # parigraha NC Case=Ins|Number=1|Gender=Masc # jQAna NC Case=Nom|Number=1|Gender=Neut # idam PRD Case=Nom|Number=1|Gender=Neut # jan PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # nAma CX # na CNG # tu CCD # kaScit PRI Case=Nom|Number=1|Gender=Neut # idam PRD Case=Ins|Number=1|Gender=Masc # bAD PPP Case=Nom|Number=1|Gender=Neut|VerbvA CCD #tasmAt CX # na CNG # Alambana NC Case=Cpd # SUnyatA NC Case=Cpd # pratipAdana NC Case=Nom|Number=1|Gender=Neut # bADA NC Case=Cpd # arTa NC Case=Nom|Number=1|Gender=Masc # ka PRQ Case=Nom|Number=1|Gender=Neut # ca CCD # sa CX # Alambana NC Case=Cpd # itara PPX Case=Cpd # Beda NC Case=Ins|Number=1|Gender=Masc # dvEta NC Case=Loc|Number=1|Gender=Neut # gati NC Case=Nom|Number=1|Gender=Fem # idam PRD Case=Nom|Number=1|Gender=Fem # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # api CX # advEta NC Case=Loc|Number=1|Gender=Neut # tu CCD # svarUpa NC Case=Cpd # mAtra NC Case=Cpd # paryavasA PPmati NC Case=Gen|Number=3|Gender=Fem # anyonya PRC Case=Acc|Number=1|Gender=Masc # bAD V Tense=Pres|Mood=Imp|Person=2|Number=Sing # iti CQT # mahat JJ Case=Nom|Number=1|Gender=Neut # sAhasa NC Case=Nom|Number=1|Gender=Neut # vac PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # ca CCD #
/home/basti/code/dvarapandita/data/jna114_sa4:9	 [438] siddhir dhiyaḥ paradhiyo na yathā tathā na bādhāpi (***)	sidDi NC Case=Nom|Number=1|Gender=Fem # DI NC Case=Nom|Number=3|Gender=Fem # para PPX Case=Cpd # DI NC Case=Nom|Number=3|Gender=Fem # na CNG # yaTA CCM # taTA CX # na CNG # bADA NC Case=Nom|Number=1|Gender=Fem # api CX #
/home/basti/code/dvarapandita/data/jna114_sa4:10	 iti | nanu vijñāptimātratāsiddhir api parata eva, tathā bādhāpi bhaviṣyatīti cet | asāram etat | saṃvṛtivyavasthito hi nānumānam anāsthāya sthātuṃ śaktaḥ | anyathā na kvacit pravṛttinivṛttyādikam ācaret | anumānāśraye ca balād vijñaptimātratāsiddhir āpatati | na tu tattvapariniṣṭhāyām anumānāvakāśaḥ | tathā yadi saṃvṛtāv eva bādhasvīkāraḥ, tadā punaḥ pratibhāsamānam etat bahir avasitam iti bādhas tatraiva syāt | yat kiṃcid etat buddhir jaṭaṃ vā tatraiva bādhasiddhiḥ, tadāpi na bāhyarūpāṭikrameṇa sādhanavṛttiḥ | atha kim atra vikalpena buddhirūpam eva citram ālambya dharmīkaraṇam iti na bāhye sādhanavyāpāraḥ | tad etad aśvārūḍhāśvavismaraṇavṛttāntam anuharati ||	iti CQT # nanu CX # vijQApayti NC Case=Cpd # mAtra NC Case=Cpd # tA NC Case=Cpd # sidDi NC Case=Nom|Number=1|Gender=Fem # api CX # paratas CX # eva CEM # taTA CX # bADA NC Case=Nom|Number=1|Gender=Fem # api CX # BU V Tense=Fut|Mood=Ind|Person=3|Number=Sing # iti CQT # ced CX # asAra JJ Case=Nom|Number=1|Gender=Neut # etad PRD Case=Nom|Number=1|Gender=Neut # saMvRti NC Case=Cpd # vyavasTA PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # hi CX # na CNG # anumAna NC Case=Acc|Number=1|Gender=Neut # anAsTAya CX #sTA CGDI VerbForm=Inf # Sak PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # anyaTA CX # na CNG # kvacid CX # pravRtti NC Case=Cpd # nivRtti NC Case=Cpd # Adika JJ Case=Acc|Number=1|Gender=Neut # Acar V Tense=Pres|Mood=Opt|Person=3|Number=Sing # anumAna NC Case=Cpd # ASraya NC Case=Loc|Number=1|Gender=Masc # ca CCD # bala NC Case=Abl|Number=1|Gender=Neut # vijQapti NC Case=Cpd # mAtra NC Case=Cpd # tA NC Case=Cpd # sidDi NC Case=Nom|Number=1|Gender=Fem # Apat V Tense=Pres|Mood=Ind|Person=3|Number=Sing # na CNG # tu CCD #tattva NC Case=Cpd # parinizWA NC Case=Loc|Number=1|Gender=Fem # anumAna NC Case=Cpd # avakASa NC Case=Nom|Number=1|Gender=Masc # taTA CX # yadi CSB # saMvR PPP Case=Nom|Number=2|Gender=Masc|VerbForm=PPP # eva CEM # bAD V Tense=Pres|Mood=Ind|Person=2|Number=Sing # AkAra NC Case=Nom|Number=1|Gender=Masc # tadA CAD # punar CAD # pratiBAsamAna NC Case=Nom|Number=1|Gender=Neut # etad PRD Case=Nom|Number=1|Gender=Neut # bahis CX # avasA PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # iti CQT #bADa NC Case=Nom|Number=1|Gender=Masc # tatra CAD # eva CEM # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # yad PRL Case=Nom|Number=1|Gender=Neut # kaScit PRI Case=Nom|Number=1|Gender=Neut # etad PRD Case=Nom|Number=1|Gender=Neut # budDi NC Case=Nom|Number=1|Gender=Fem # jawa NC Case=Nom|Number=1|Gender=Neut # vA CCD # tatra CAD # eva CEM # bADa NC Case=Cpd # sidDi NC Case=Nom|Number=1|Gender=Fem # tadA CAD # api CX # na CNG # bAhya JJ Case=Cpd # rUpa NC Case=Cpd # awi NC Case=Cpd # krama NC Case=Ins|Number=1|Gender=Masc # sADana NC Case=Cpd # vRtti NC Case=Nom|Number=1|Gender=Fem # aTa CAD # ka PRQ Caseatra CAD # vikalpa NC Case=Ins|Number=1|Gender=Masc # budDi NC Case=Cpd # rUpa NC Case=Acc|Number=1|Gender=Neut # eva CEM # citra JJ Case=Acc|Number=1|Gender=Neut # Alamb CGDA VerbForm=Abs # DarmIkaraNa NC Case=Nom|Number=1|Gender=Neut # iti CQT # na CNG # bAhya JJ Case=Loc|Number=1|Gender=Neut # sADana NC Case=Cpd # vyApAra NC Case=Nom|Number=1|Gender=Masc # tad PRD Case=Nom|Number=1|Gender=Neut # etad PRD Case=Nom|Number=1|Gender=Neut # aSva NC Case=Cpd # Aruh PPP Case=Cpd|VerbForm=PPP # aSva NC Case=Cpd # vismaraNa NC Case=Cpd # vRttAnta NC Case=Nom|Number=1|Gender=Neut #anuhR V Tense=Pres|Mood=Ind|Person=3|Number=Sing #
