kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
kum	 verb-past 	kum	Intransitive:    (archaic) To die ; Compare 'gum
kum	 verb-fut 	kum	Intransitive:    (archaic) To die ; Compare 'gum
ker	 verb-pres 	ker	Intransitive: Involuntary:  To erect, to point a finger toward the sky ;  To raise, lift up ;  To raise up (e.g. a finger) ; To arise, get up ;
ker(d)	 verb-past 	ker	Intransitive: Involuntary:  To erect, to point a finger toward the sky ;  To raise, lift up ;  To raise up (e.g. a finger) ; To arise, get up ;
ker	 verb-fut 	ker	Intransitive: Involuntary:  To erect, to point a finger toward the sky ;  To raise, lift up ;  To raise up (e.g. a finger) ; To arise, get up ;
	 verb-pres 	krang	   Compare grang
	 verb-past 	krang	   Compare grang
	 verb-fut 	krang	   Compare grang
klan	 verb-pres 	klan	Transitive:    1. To wreak revenge for. [2. To mend, to patch] ; 1. To avenge, to take revenge. 2. To answer, counter ; (archaic) To answer, counter ;
klan	 verb-past 	klan	Transitive:    1. To wreak revenge for. [2. To mend, to patch] ; 1. To avenge, to take revenge. 2. To answer, counter ; (archaic) To answer, counter ;
klan	 verb-fut 	klan	Transitive:    1. To wreak revenge for. [2. To mend, to patch] ; 1. To avenge, to take revenge. 2. To answer, counter ; (archaic) To answer, counter ;
klas	 verb-pres 	klas	   To be beyond, further than ; 1. To forget. 2. To arrive at the depths, meet the limit. 3. To understand ;{:tag :ref, :attrs nil, :content ["CD, DS, TC"]}
	 verb-past 	klas	   To be beyond, further than ; 1. To forget. 2. To arrive at the depths, meet the limit. 3. To understand ;{:tag :ref, :attrs nil, :content ["CD, DS, TC"]}
	 verb-fut 	klas	   To be beyond, further than ; 1. To forget. 2. To arrive at the depths, meet the limit. 3. To understand ;{:tag :ref, :attrs nil, :content ["CD, DS, TC"]}
klub	 verb-pres 	klub	   To cover the body with ornaments (Jä), to put on luxuriously (Cs), to set up a tent ;  To put on; to wear ; Root given as klub < *s-'-lhub, *b-lhub? (Chang 1971: iv.12).
klubs	 verb-past 	klub	   To cover the body with ornaments (Jä), to put on luxuriously (Cs), to set up a tent ;  To put on; to wear ; Root given as klub < *s-'-lhub, *b-lhub? (Chang 1971: iv.12).
klub	 verb-fut 	klub	   To cover the body with ornaments (Jä), to put on luxuriously (Cs), to set up a tent ;  To put on; to wear ; Root given as klub < *s-'-lhub, *b-lhub? (Chang 1971: iv.12).
klubs	 verb-pres 	klub	Transitive: Voluntary:  To adorn, put on another person; to make someone put on ; To ornament, put on clothes ; 1. To wear.  2. To adorn, decorate ; Root given as g + lhub (Hahn 1999).
blubs	 verb-past 	klub	Transitive: Voluntary:  To adorn, put on another person; to make someone put on ; To ornament, put on clothes ; 1. To wear.  2. To adorn, decorate ; Root given as g + lhub (Hahn 1999).
klubs	 verb-fut 	klub	Transitive: Voluntary:  To adorn, put on another person; to make someone put on ; To ornament, put on clothes ; 1. To wear.  2. To adorn, decorate ; Root given as g + lhub (Hahn 1999).
klog	 verb-pres 	klog	Transitive: Voluntary:  To read ; To read aloud ; Root given as klag < *s-'-lhag (Chang 1971: iv.12)
blags	 verb-past 	klog	Transitive: Voluntary:  To read ; To read aloud ; Root given as klag < *s-'-lhag (Chang 1971: iv.12)
bklag	 verb-fut 	klog	Transitive: Voluntary:  To read ; To read aloud ; Root given as klag < *s-'-lhag (Chang 1971: iv.12)
dkag	 verb-pres 	dkag	Intransitive:   (of a melted liquid) To solidify in the process of cooling ;
dkag	 verb-past 	dkag	Intransitive:   (of a melted liquid) To solidify in the process of cooling ;
dkag	 verb-fut 	dkag	Intransitive:   (of a melted liquid) To solidify in the process of cooling ;
dka'	 verb-pres 	dka'	   To be difficult ;
dka'	 verb-past 	dka'	   To be difficult ;
	 verb-fut 	dka'	   To be difficult ;
dku	 verb-pres 	dku	Intransitive:  To drip, come down, fall ; 1. To brew, exude. 2. To fall. 3. (archaic) To remain, be left behind ;
dku	 verb-past 	dku	Intransitive:  To drip, come down, fall ; 1. To brew, exude. 2. To fall. 3. (archaic) To remain, be left behind ;
dku	 verb-fut 	dku	Intransitive:  To drip, come down, fall ; 1. To brew, exude. 2. To fall. 3. (archaic) To remain, be left behind ;
dkon(d)	 verb-pres 	dkon(d)	   To appear ;
dkon(d)	 verb-past 	dkon(d)	   To appear ;
dkon	 verb-fut 	dkon(d)	   To appear ;
dkyu	 verb-pres 	dkyu	Transitive:   1. To run a race 2. To presng out; to filter (Sch.) 3. To caper about (Jä) ;  To race, to run away ;To race (a horse, mule, &c.) ; To control, ride a horse ; See note at 'khyus
dkyus	 verb-past 	dkyu	Transitive:   1. To run a race 2. To presng out; to filter (Sch.) 3. To caper about (Jä) ;  To race, to run away ;To race (a horse, mule, &c.) ; To control, ride a horse ; See note at 'khyus
dkyu	 verb-fut 	dkyu	Transitive:   1. To run a race 2. To presng out; to filter (Sch.) 3. To caper about (Jä) ;  To race, to run away ;To race (a horse, mule, &c.) ; To control, ride a horse ; See note at 'khyus
dkyud	 verb-pres 	dkyud	   To forget ;
	 verb-past 	dkyud	   To forget ;
	 verb-fut 	dkyud	   To forget ;
dkri	 verb-pres 	dkri	Transitive: Involuntary:   1. (archaic) To conduct one's pupil from one stage of learning to another stage. 2. To wind; to wrap around. 3. To ensnare ;  To wind, to wrap up; to roll up; To bind something with string or rope ; 1. To bind, to tie. 2. To cover, impose, accuse, deprecate ;
dkris	 verb-past 	dkri	Transitive: Involuntary:   1. (archaic) To conduct one's pupil from one stage of learning to another stage. 2. To wind; to wrap around. 3. To ensnare ;  To wind, to wrap up; to roll up; To bind something with string or rope ; 1. To bind, to tie. 2. To cover, impose, accuse, deprecate ;
dkri	 verb-fut 	dkri	Transitive: Involuntary:   1. (archaic) To conduct one's pupil from one stage of learning to another stage. 2. To wind; to wrap around. 3. To ensnare ;  To wind, to wrap up; to roll up; To bind something with string or rope ; 1. To bind, to tie. 2. To cover, impose, accuse, deprecate ;
dkrig	 verb-pres 	dkrig	Transitive: Voluntary:  To make overcast; to gather clouds [sic], to pile up ;To fill up (with clouds, smoke &c.) ;To obscure ;
dkrigs	 verb-past 	dkrig	Transitive: Voluntary:  To make overcast; to gather clouds [sic], to pile up ;To fill up (with clouds, smoke &c.) ;To obscure ;
dkrig	 verb-fut 	dkrig	Transitive: Voluntary:  To make overcast; to gather clouds [sic], to pile up ;To fill up (with clouds, smoke &c.) ;To obscure ;
dkrug	 verb-pres 	dkrug	Transitive: Voluntary:  To disturb, put in motion; to turn, turn on a lathe ;To stir up; to disturb; to agitate; to disunite; to create differences by instigation ;1. To stir, churn (a kind of liquid with a stick). 2. To be unharmonious, disagreeable. 3. To finish, conclude ;  1. To disturb, stir, churn. 2. To agitate, disrupt. 3. To carve by turning on a lathe ; Root given as dkrug < *b-krug (Chang 1971: v.6).
